Pous	B-PER
Johannes	I-PER
X	I-PER
(	O
914-928	O
)	O

Later	O
het	O
hy	O
hom	O
beywer	O
vir	O
vereniging	O
tussen	O
die	O
``	O
Smelters	O
''	O
(	O
Nasionaliste	O
wat	O
hulle	O
by	O
die	O
Verenigde	B-ORG
Party	I-ORG
aangesluit	O
het	O
)	O
en	O
``	O
Gesuiwerdes	O
''	O
(	O
Nasionaliste	O
wat	O
getrou	O
aan	O
die	O
NP	O
gebly	O
het	O
)	O
.	O

Die	O
afdelingswinkel	O
GUM	B-ORG
of	O
GOeM	B-ORG
aan	O
die	O
oostelike	O
kant	O
van	O
die	O
plein	O
beslaan	O
die	O
hele	O
gebied	O
tussen	O
Nikolskaja-	O
en	O
Iljinka-straat	O
.	O

Dit	O
vorm	O
deel	O
van	O
die	O
Midvaal	B-LOC
Plaaslike	I-LOC
Munisipaliteit	I-LOC
en	O
die	O
Sedibeng-distriksmunisipaliteit	B-LOC
.	O
