The	B-ORG
Guardian	I-ORG
calificó	O
a	O
los	O
10	O
conciertos	O
anunciados	O
como	O
``	O
un	O
regreso	O
sorprendente	O
para	O
un	O
hombre	O
que	O
en	O
los	O
últimos	O
años	O
ha	O
sido	O
perseguido	O
por	O
la	O
controversia	O
''	O
,	O
añadiendo	O
que	O
aún	O
tenía	O
``	O
una	O
enorme	O
influencia	O
comercial	O
''	O
.	O

La	O
escena	O
gira	O
en	O
torno	O
a	O
la	O
Virgen	B-PER
María	I-PER
,	O
María	B-PER
Magdalena	I-PER
y	O
los	O
Apóstoles	B-PER
.	O

REDIRECCIÓN	O
Jamaica–Calle	B-LOC
179	I-LOC
(	I-LOC
línea	I-LOC
Queens	I-LOC
Boulevard	I-LOC
)	I-LOC
