Streymoy	B-LOC
eskualdea	I-LOC
(	O
''Streymoyar	O
sýsla	O
''	O
)	O
.	O

BIRZUZENDU	O
Frantziako	B-ORG
Atzerritar	I-ORG
Legioa	I-ORG

2009an	O
zeuden	O
norbanakoentzako	O
29	O
zerbitzu	O
publikoetatik	O
,	O
1	O
jendarmeria	B-ORG
zen	O
,	O
1	O
posta	O
bulegoa	O
,	O
1	O
banku	O
bulegoa	O
,	O
1	O
ibilgailuen	O
konpontzeko	O
eta	O
nekazaritza	O
tresnetako	O
lantokia	O
,	O
1	O
autoeskola	O
,	O
5	O
igeltseroak	O
,	O
3	O
zurginak	O
,	O
3	O
iturginak	O
,	O
1	O
argiketaria	O
,	O
1	O
eraikuntza	O
enpresa	O
,	O
4	O
ile	O
apaindegiak	O
,	O
2	O
jatetxeak	O
,	O
3	O
higiezinen	O
agentziak	O
,	O
1	O
tintoreria	O
eta	O
1	O
apaindegia	O
.	O

Mayor	B-PER
Oreja	I-PER
,	I-PER
Jaime	I-PER
