#	O
宇	B-PER
宙	I-PER
戦	I-PER
艦	I-PER
ヤ	I-PER
マ	I-PER
ト	I-PER
（	O
讀	B-ORG
賣	I-ORG
テ	I-ORG
レ	I-ORG
ビ	I-ORG
放	I-ORG
送	I-ORG
）	O

:	O
生	O
産	O
量	O
第	O
2	O
位	O
。	O
（	O
た	O
だ	O
し	O
2	O
位	O
以	O
下	O
は	O
僅	O
差	O
）	O
8	O
月	O
下	O
旬	O
#	O
-	O
#	O
9	O
月	O
初	O
め	O
に	O
は	O
収	O
穫	O
さ	O
れ	O
、	O
9	O
月	O
中	O
旬	O
に	O
は	O
食	O
べ	O
頃	O
に	O
な	O
る	O
早	O
生	O
種	O
。	O
1	O
7	O
世	O
紀	O
に	O
イ	B-LOC
ギ	I-LOC
リ	I-LOC
ス	I-LOC
で	O
発	O
見	O
さ	O
れ	O
た	O
品	O
種	O
。	O
日	O
本	O
で	O
生	O
産	O
さ	O
れ	O
て	O
い	O
る	O
品	O
種	O
と	O
し	O
て	O
は	O
か	O
な	O
り	O
縦	O
長	O
の	O
形	O
状	O
で	O
あ	O
る	O
。	O
