ア	B-ORG
メ	I-ORG
リ	I-ORG
カ	I-ORG
ン	I-ORG
フ	I-ORG
ァ	I-ORG
ミ	I-ORG
リ	I-ORG
ー	I-ORG
生	I-ORG
命	I-ORG
保	I-ORG
険	I-ORG
会	I-ORG
社	I-ORG

#	O
2	O
0	O
0	O
7	O
年	O
2	O
月	O
#	O
-	O
#	O
5	O
月	O
、	O
『	O
明	O
智	O
小	O
五	O
郎	O
の	O
事	O
件	O
簿	O
―	O
黒	O
蜥	O
蜴	O
』	O
#	O
早	O
苗	O
ほ	O
か	O
#	O
/	O
#	O
新	O
人	O
公	O
演	O
：	O
黒	O
ト	O
カ	O
ゲ	O
（	O
本	O
役	O
：	O
桜	B-PER
乃	I-PER
彩	I-PER
音	I-PER
）	O
#	O
'	O
'	O
'	O
＊	O
新	O
人	O
公	O
演	O
初	O
ヒ	O
ロ	O
イ	O
ン	O
'	O
'	O
'	O

西	B-LOC
平	I-LOC
県	I-LOC
#	O
(	I-LOC
駐	I-LOC
馬	I-LOC
店	I-LOC
市	I-LOC
)	I-LOC
#	O
-	O
#	O
河	B-LOC
南	I-LOC
省	I-LOC
駐	B-LOC
馬	I-LOC
店	I-LOC
市	I-LOC
に	O
位	O
置	O
す	O
る	O
県	O
。	O
