ら	B-PER
ん	I-PER
ま	I-PER
1	I-PER
/	I-PER
2	I-PER
#	O
シ	I-PER
ャ	I-PER
ン	I-PER
プ	I-PER
ー	I-PER
豹	I-PER
変	I-PER
!	I-PER
#	O
反	I-PER
転	I-PER
宝	I-PER
珠	I-PER
の	I-PER
禍	I-PER
（	O
天	O
道	O
か	O
す	O
み	O
）	O

本	O
社	O
#	O
-	O
#	O
香	O
川	O
県	O
丸	B-LOC
亀	I-LOC
市	I-LOC

#	O
魔	O
界	O
戦	O
記	O
デ	O
ィ	O
ス	O
ガ	O
イ	O
ア	O
2	O
#	O
1	O
#	O
(	O
電	O
撃	O
コ	O
ミ	O
ッ	O
ク	O
ス	O
)	O
#	O
(	O
2	O
0	O
0	O
6	O
年	O
5	O
月	O
、	O
日	B-ORG
本	I-ORG
一	I-ORG
ソ	I-ORG
フ	I-ORG
ト	I-ORG
ウ	I-ORG
ェ	I-ORG
ア	I-ORG
(	O
原	O
作	O
)	O
、	O
へ	O
か	O
と	O
ん	O
#	O
(	O
漫	O
画	O
)	O
、	O
ア	O
ス	O
キ	O
ー	O
・	O
メ	O
デ	O
ィ	O
ア	O
ワ	O
ー	O
ク	O
ス	O
)	O
None	O
I	O
S	O
B	O
N	O
#	O
9	O
7	O
8	O
-	O
4	O
8	O
4	O
0	O
2	O
3	O
4	O
8	O
0	O
1	O
