ვარსკვლავური	B-ORG
ფლოტის	I-ORG
ოფიცრების	O
უმრავლესობა	O
ადამიანია	O
,	O
თუმცა	O
ვხვდებიტ	O
სხვა	O
რასების	O
წარმომადგენლებსაც	O
(	O
ხომალდ	O
ვოიჟერის	O
მთავარი	O
ინჟინერი	O
ნახევრად	O
კლინგონია	O
,	O
დაცვის	O
უფროსი	O
კი	O
ვულკანელი	O
.	O

სწორედ	O
აქედან	O
გავრცელდა	O
ის	O
საბერძნეთსა	B-LOC
და	O
რომის	B-LOC
იმპერიაში	I-LOC
.	O

მომდევნო	O
ადგილებსს	O
ყოფილი	O
იუგოსლავიის	B-LOC
ქვეყნებიდან	O
,	O
ვიეტნამიდან	B-LOC
,	O
ფილიპინებიდან	B-LOC
,	O
თურქეთიდან	B-LOC
,	O
სომალიდან	B-LOC
,	O
ერაყიდან	B-LOC
და	O
მაროკოდან	B-LOC
ჩასულები	O
იკავებენ	O
.	O

გადამისამართება	O
იუსტინიანე	B-PER
I	I-PER
(	I-PER
ბიზანტია	I-PER
)	I-PER
