Depeche	B-ORG
Mode-тағы	I-ORG
шығармашылығынан	O
бөлек	O
,	O
жеке	O
музыкалық	O
мансабымен	O
де	O
айналысады	O
.	O

Газеттің	O
алғашқы	O
редакторларының	O
бірі	O
Сәкен	B-PER
Сейфуллин	I-PER
болды	O
.	O

'	O
''	O
Елшібектің	O
төрткілі	O
''	O
'	O
,	O
Маңғыстау	B-LOC
облысы	I-LOC
Жаңаөзен	B-LOC
қаласынан	O
оңтүстікке	O
қарай	O
140	O
км	O
жерде	O
орналасқан	O
.	O

Мұнда	O
Абайдың	B-PER
өмірі	O
мен	O
шығармашылығына	O
қатысты	O
деректерді	O
жинау	O
мен	O
жариялау	O
барысында	O
қандай	O
мәселелерге	O
ерекше	O
ден	O
қою	O
керек	O
екендігі	O
баса	O
ескертілді	O
.	O
