ซ	B-LOC
า	I-LOC
น	I-LOC
า	I-LOC

2	O
5	O
1	O
3	O
#	O
ห	O
ล	O
ั	O
ง	O
จ	O
า	O
ก	O
น	O
ั	O
้	O
น	O
ไ	O
ด	O
้	O
ร	O
ั	O
บ	O
ท	O
ุ	O
น	O
ไ	O
ป	O
ศ	O
ึ	O
ก	O
ษ	O
า	O
ต	O
่	O
อ	O
ร	O
ะ	O
ด	O
ั	O
บ	O
ป	O
ร	O
ิ	O
ญ	O
ญ	O
า	O
โ	O
ท	O
แ	O
ล	O
ะ	O
เ	O
อ	O
ก	O
ท	O
ี	O
่	O
ส	O
ห	O
ร	O
ั	O
ฐ	O
อ	O
เ	O
ม	O
ร	O
ิ	O
ก	O
า	O
#	O
ด	O
้	O
ว	O
ย	O
ท	O
ุ	O
น	O
ข	O
อ	O
ง	O
ร	O
ั	O
ฐ	O
บ	O
า	O
ล	O
#	O
แ	O
ล	O
ะ	O
ก	O
ล	O
ั	O
บ	O
ม	O
า	O
ร	O
ั	O
บ	O
ร	O
า	O
ช	O
ก	O
า	O
ร	O
ท	O
ี	O
่	O
ม	B-ORG
ห	I-ORG
า	I-ORG
ว	I-ORG
ิ	I-ORG
ท	I-ORG
ย	I-ORG
า	I-ORG
ล	I-ORG
ั	I-ORG
ย	I-ORG
ศ	I-ORG
ร	I-ORG
ี	I-ORG
น	I-ORG
ค	I-ORG
ร	I-ORG
ิ	I-ORG
น	I-ORG
ท	I-ORG
ร	I-ORG
ว	I-ORG
ิ	I-ORG
โ	I-ORG
ร	I-ORG
ฒ	I-ORG
#	O
(	O
เ	O
ด	O
ิ	O
ม	O
ค	O
ื	O
อ	O
#	O
ว	O
ิ	O
ท	O
ย	O
า	O
ล	O
ั	O
ย	O
พ	O
ล	O
ศ	O
ึ	O
ก	O
ษ	O
า	O
ก	O
ร	O
ุ	O
ง	O
เ	O
ท	O
พ	O
)	O
#	O
ต	O
่	O
อ	O
ม	O
า	O
#	O
พ	O
.	O
ศ	O
.	O

#	O
#	O
ม	B-PER
า	I-PER
ร	I-PER
์	I-PER
โ	I-PER
ก	I-PER
#	O
ม	B-PER
า	I-PER
ร	I-PER
ิ	I-PER
น	I-PER
