#	O
ป	B-LOC
ร	I-LOC
ะ	I-LOC
เ	I-LOC
ท	I-LOC
ศ	I-LOC
แ	I-LOC
ค	I-LOC
น	I-LOC
า	I-LOC
ด	I-LOC
า	I-LOC
#	O
–	O
#	O
โ	O
ซ	O
น	O
เ	O
ว	O
ล	O
า	O
น	O
ิ	O
ว	O
ฟ	O
ั	O
น	O
ด	O
์	O
แ	O
ล	O
น	O
ด	O
์	O
#	O
(	O
N	O
e	O
w	O
f	O
o	O
u	O
n	O
d	O
l	O
a	O
n	O
d	O
#	O
D	O
a	O
y	O
l	O
i	O
g	O
h	O
t	O
#	O
T	O
i	O
m	O
e	O
,	O
#	O
N	O
D	O
T	O
)	O

#	O
ส	B-PER
ม	I-PER
เ	I-PER
ด	I-PER
็	I-PER
จ	I-PER
พ	I-PER
ร	I-PER
ะ	I-PER
น	I-PER
เ	I-PER
ร	I-PER
ศ	I-PER
ว	I-PER
ร	I-PER
ม	I-PER
ห	I-PER
า	I-PER
ร	I-PER
า	I-PER
ช	I-PER

ร	B-ORG
ิ	I-ORG
ช	I-ORG
า	I-ORG
ร	B-ORG
์	I-ORG
ด	I-ORG
#	O
ค	I-ORG
ร	B-ORG
อ	I-ORG
ม	I-ORG
เ	I-ORG
ว	I-ORG
ล	I-ORG
ล	I-ORG
์	I-ORG
#	O
(	O
R	O
i	O
c	O
h	O
a	O
r	O
d	O
#	O
C	O
r	O
o	O
m	O
w	O
e	O
l	O
l	O
)	O
