霍	B-PER
华	I-PER
德	I-PER
·	I-PER
肖	I-PER
，	O
作	O
曲	O
家	O
、	O
指	O
挥	O
家	O
、	O
音	O
乐	O
制	O
作	O
人	O
，	O
以	O
谱	O
写	O
电	O
影	O
配	O
乐	O
而	O
著	O
名	O
。	O
作	O
品	O
有	O
电	O
影	O
《	O
指	O
环	O
王	O
》	O
系	O
列	O
。	O

革	O
命	O
军	O
领	O
导	O
人	O
认	O
为	O
，	O
布	O
干	O
维	O
尔	O
在	O
种	O
族	O
上	O
是	O
所	B-LOC
罗	I-LOC
门	I-LOC
群	I-LOC
岛	I-LOC
的	O
一	O
部	O
分	O
，	O
并	O
且	O
在	O
国	O
家	O
粗	O
放	O
的	O
开	O
采	O
岛	O
上	O
资	O
源	O
时	O
本	O
岛	O
布	O
干	O
维	O
尔	O
人	O
并	O
未	O
获	O
利	O
。	O
#	O
1	O
9	O
8	O
9	O
年	O
，	O
革	O
命	O
军	O
领	O
导	O
人	O
宣	O
布	O
布	O
干	O
维	O
尔	O
脱	O
离	O
巴	O
布	O
亚	O
新	O
几	O
内	O
亚	O
自	O
行	O
独	O
立	O
，	O
并	O
建	O
立	O
了	O
布	O
干	O
维	O
尔	O
临	O
时	O
政	O
府	O
。	O
结	O
果	O
导	O
致	O
了	O
革	O
命	O
军	O
与	O
巴	O
布	O
亚	O
新	O
几	O
内	O
亚	O
政	O
府	O
军	O
内	O
战	O
的	O
爆	O
发	O
，	O
并	O
且	O
战	O
争	O
在	O
澳	B-LOC
大	I-LOC
利	I-LOC
亚	I-LOC
的	O
支	O
持	O
下	O
逐	O
步	O
升	O
级	O
。	O

1	O
9	O
9	O
8	O
年	O
，	O
被	O
美	B-ORG
國	I-ORG
物	I-ORG
理	I-ORG
學	I-ORG
會	I-ORG
遴	O
選	O
為	O
院	O
士	O
