ပြည်သူ့ကျန်းမာရေးတက္ကသိုလ်	B-ORG
(	I-ORG
ရန်ကုန်	I-ORG
)	I-ORG

ကွန်ပျူတာတက္ကသိုလ်	B-ORG
(	I-ORG
ဘားအံ	I-ORG
)	I-ORG

ချားလ်	B-PER
ဂျော့ရှ်	I-PER
ဂေါ်ဒင်	I-PER

*၁၈၅၆	O
ခုနှစ်	O
။	O
။	O
မင်းတုန်းမင်းသည်	B-PER
အမေရိကန်နိုင်ငံနှင့်	O
နီးနီးကပ်ကပ်ဆက်ဆံချင်ကြောင်း	O
အမေရိကန်သမ္မတ	O
ဂျိမ်းစ်	B-PER
ဘွတ်ခ်နန်ထံသို့	I-PER
စာရေးသည်။	O

(	O
၁	O
)	O
စစ်ကိုင်းမြို့	B-LOC

အမေရိကန်ပြည်ထောင်စု၌ကား၊	B-LOC
၁၈၂၉	O
ခုနှစ်မှ	O
၁၈၃၃	O
ခုနှစ်အတွင်း	O
အမေရိကန်စွယ်စုံကျမ်းကို	O
'အင်စိုင်ကလိုပီးဒီးယား	O
အမေရိကားနား'ဟူသောအမည်ဖြင့်	O
ပြုစုထုတ်ဝေခဲ့လေသည်။	O
