Oklahoma	B-ORG
State	I-ORG
University	I-ORG
–	I-ORG
Stillwater	I-ORG

Nach	O
mehreren	O
Platzierungen	O
unter	O
den	O
besten	O
zehn	O
konnte	O
sie	O
sich	O
bei	O
der	O
Weltmeisterschaft	B-ORG
2005	I-ORG
in	O
Santa	B-LOC
Caterina	I-LOC
endgültig	O
an	O
der	O
Weltspitze	O
etablieren	O
,	O
als	O
sie	O
hinter	O
Janica	B-PER
Kostelić	I-PER
und	O
Tanja	B-PER
Poutiainen	I-PER
die	O
Bronzemedaille	O
im	O
Slalom	O
gewann	O
.	O

Nach	O
den	O
Madrider	B-ORG
Zuganschlägen	I-ORG
vom	O
11	O
.	O

Wan	B-LOC
na	I-LOC
,	O
OT	O
Westernwanna	O

WEITERLEITUNG	O
Pjotr	B-PER
Michailowitsch	I-PER
Wolkonski	I-PER

In	O
Nordrhein-Westfalen	B-LOC
ist	O
es	O
das	O
größte	O
von	O
Studenten	O
organisierte	O
Open-Air-Musikfestival	B-ORG
.	O

José	B-PER
Ángel	I-PER
Gómez	I-PER
Marchante	I-PER

Ihre	O
Ursprünge	O
gehen	O
nach	O
Guinea-Bissau	B-LOC
zurück	O
,	O
wo	O
sie	O
noch	O
heute	O
etwa	O
9	O
Prozent	O
der	O
Bevölkerung	O
stellen	O
.	O

Roger	B-PER
Ebert	I-PER
schrieb	O
in	O
der	O
Chicago	B-ORG
Sun-Times	I-ORG
''	O
vom	O
5	O
.	O

Abrahámovce	B-LOC
(	I-LOC
Kežmarok	I-LOC
)	I-LOC

Weiter	O
rheinaufwärts	O
entwickelt	O
sich	O
ein	O
Technologiecluster	O
zwischen	O
St.	B-LOC
Gallen	I-LOC
und	O
Vorarlberg	B-LOC
.	O
