श्याम	B-PER
बेनेगल	I-PER
ह्यांचे	O
दिग्दर्शन	O
असलेल्या	O
ह्या	O
चित्रपटामध्ये	O
शशी	B-PER
कपूर	I-PER
,	O
रेखा	B-PER
,	O
राज	B-PER
बब्बर	I-PER
ह्यांच्या	O
आघाडीच्या	O
भूमिका	O
आहेत	O
.	O

हे	O
शहर	O
झुन्हेबोटो	B-LOC
जिल्ह्याचे	I-LOC
प्रशासकीय	O
केंद्र	O
आहे	O
.	O

*२३३	O
-	O
परळी	B-ORG
विधानसभा	I-ORG
मतदारसंघ	I-ORG

पुनर्निर्देशन	O
मार्कस	B-PER
सेव्हेरस	I-PER
डिडियस	I-PER
ज्युलियानस	I-PER

'	O
''	O
पोप	B-PER
सिरिसियस	I-PER
''	O
'Papa	O
'	O
''	O
SIRICIUS	O
''	O
'	O

रणसिंगे	B-LOC
प्रेमदासा	I-LOC
मैदान	I-LOC
,	O
कोलंबो	B-LOC
,	O
श्रीलंका	B-LOC

पुनर्निर्देशन	O
अर्चना	B-PER
पुरन	I-PER
सिंग	I-PER

जवाहरलाल	B-LOC
नेहरू	I-LOC
मैदान	I-LOC
,	I-LOC
कोची	I-LOC

पुनर्निर्देशन	O
स्कॉटलंड	B-ORG
क्रिकेट	I-ORG
संघ	I-ORG

त्रिनिदाद	B-ORG
आणि	I-ORG
टोबॅगो	I-ORG
राष्ट्रीय	I-ORG
क्रिकेट	I-ORG
संघ	I-ORG

पुनर्निर्देशन	O
सकाळ	B-ORG
(	I-ORG
वृत्तपत्र	I-ORG
)	I-ORG

भारतात	B-LOC
बंगालमध्ये	B-LOC
आणि	O
हिंदी	B-LOC
भाषा	I-LOC
भागात	O
याला	O
''सेमल	O
''	O
म्हणुन	O
ओळखतात.याच्या	O
सुंदर	O
दिसणाऱ्या	O
फुलांमुळे	O
यास	O
अनेक	O
ठिकाणी	O
लावले	O
जाते	O
.	O
