Также	O
в	O
его	O
честь	O
назван	O
Ледник	B-LOC
Франца-Иосифа	I-LOC
в	O
Новой	B-LOC
Зеландии	I-LOC
.	O

Будро	B-PER
,	I-PER
Брюс	I-PER

Начинается	O
от	O
Наветренного	B-LOC
пролива	I-LOC
,	O
проходит	O
южнее	O
горной	O
цепи	O
Сьерра-Маэстра	B-LOC
на	O
Кубе	B-LOC
и	O
далее	O
идёт	O
к	O
Гватемале	B-LOC
.	O

Департамент	O
—	O
Верхняя	B-LOC
Гаронна	I-LOC
.	O

Ховгорденский	B-ORG
рунический	I-ORG
камень	I-ORG

Является	O
составной	O
частью	O
муниципалитета	O
Карташу	B-LOC
.	O

Художественный	B-ORG
музей	I-ORG
Челси	I-ORG
Нью-Йорк	B-LOC
.	O

Аль-Каида	B-ORG
в	I-ORG
странах	I-ORG
исламского	I-ORG
Магриба	I-ORG

**	O
Палмейрас	B-LOC
(	I-LOC
Баия	I-LOC
)	I-LOC

перенаправление	O
Аллен	B-PER
,	I-PER
Ронни	I-PER

Монтгомери	B-PER
,	I-PER
Роджер	I-PER
,	I-PER
1-й	I-PER
граф	I-PER
Шрусбери	I-PER

Григорьев	B-PER
,	I-PER
Александр	I-PER
Андреевич	I-PER

В	O
1952—1973	O
годах	O
был	O
также	O
президентом	O
Олимпийского	B-ORG
комитета	I-ORG
Польши	I-ORG
.	O
