رجوع_مکرر	O
ٹسکارورا	B-LOC
ٹاؤنشپ،	I-LOC
بریڈفرڈ	I-LOC
کاؤنٹی،	I-LOC
پنسلوانیا	I-LOC

رجوع_مکرر	O
احمد	B-PER
داؤد	I-PER
اوغلو	I-PER

رجوع_مکرر	O
سلیمان	B-PER
ابن	I-PER
احمد	I-PER
ابن	I-PER
الطبرانی	I-PER

رجوع_مکرر	O
موریل	B-LOC
کاؤنٹی،	I-LOC
نیبراسکا	I-LOC

رجوع_مکرر	O
زیریں	B-LOC
ساوا	I-LOC
شماریاتی	I-LOC
علاقہ	I-LOC

رجوع_مکرر	O
غیرکمیشن	B-ORG
یافتہ	I-ORG
آفیسر	I-ORG

رجوع_مکرر	O
لوٹ	B-ORG
پالش	I-ORG
ائیرلائن	I-ORG

سزائے	B-ORG
موت	I-ORG
کا	I-ORG
استعمال	I-ORG
بلحاظ	I-ORG
ملک	I-ORG

**	O
بحرین	B-LOC
(	O
1880–1971	O
)	O

رجوع_مکرر	O
عالمی	B-ORG
یوم	I-ORG
قلب	I-ORG

رجوع_مکرر	O
حزقیل	B-PER
علیہ	I-PER
السلام	I-PER

رجوع_مکرر	O
عبداللہ	B-PER
بن	I-PER
ابی	I-PER

رجوع_مکرر	O
ردرفورڈ	B-LOC
کاؤنٹی،	I-LOC
شمالی	I-LOC
کیرولائنا	I-LOC
