Ìwo	B-LOC
Orí	I-LOC
ilẹ̀	I-LOC
Áfríkà	I-LOC

Eusebio	B-PER
Ayala	I-PER
(	O
2nd	O
presidency	O
)	O

Prime	O
Minister]]	O
Mohamed	B-PER
Said	I-PER
Fofana	I-PER

Ladoke	B-ORG
Akintola	I-ORG
University	I-ORG
of	I-ORG
Technology	I-ORG
''Ogbomoso	O
''	O

Ajagun	B-ORG
Ojúòfurufú	I-ORG
Amẹ́ríkà	I-ORG

Àwọn	B-ORG
ọmọ	I-ORG
Áfríkà	I-ORG

Pópù	B-PER
Marcellus	I-PER
1k	I-PER

Martina	B-PER
Hingis	I-PER
''	O
(	O
Third	O
Round	O
)	O
''	O

Afidimule	B-ORG
awon	I-ORG
Onimose-ero	I-ORG
Onitanna	I-ORG
ati	I-ORG
Ero-aloitanna	I-ORG

'	O
''	O
'	O
''	O
je	O
apa	B-LOC
kan	O
ninu	O
33	O
ni	O
orile-ede	O
Kòlómbìà	B-LOC
.	O

Agbègbè	B-LOC
Ìjọba	I-LOC
Ìbílẹ̀	I-LOC
Girei	I-LOC

'	O
''	O
'	O
''	O
jẹ́	O
Fáráò	B-PER
ni	O
Ẹ́gíptì	B-LOC
Ayéijọ́un	I-LOC
.	O

'	O
''	O
'	O
''	O
jẹ́	O
Fáráò	B-PER
ni	O
Ẹ́gíptì	B-LOC
Ayéijọ́un	I-LOC
.	O
