IRP	X
6-opgawes	NOUN
vir	ADP
die	DET
eerste	ADJ
periode	NOUN
moet	AUX
ingehandig	VERB
word	AUX
al	SCONJ
toon	VERB
jou	PRON
berekeninge	NOUN
dat	SCONJ
jy	PRON
geen	NUM
voorlopige	ADJ
belasting	NOUN
hoef	AUX
te	PART
betaal	VERB
nie	PART
.	PUNCT

'n	DET
Ondersoek	NOUN
na	ADP
onderwys	NOUN
en	CCONJ
vaardigheidsontwikkeling	NOUN
toon	VERB
dat	SCONJ
'n	DET
groot	ADJ
verbetering	NOUN
teen	ADP
2004	SYM
ingetree	VERB
het	AUX
,	PUNCT
ofskoon	SCONJ
teen	ADP
'n	DET
stadige	ADJ
pas	NOUN
.	PUNCT

My	PRON
verantwoordelikheid	NOUN
,	PUNCT
binne	ADP
'n	DET
kwessie	NOUN
van	ADP
enkele	DET
maande	NOUN
,	PUNCT
was	AUX
om	ADP
die	DET
Nasionale	ADJ
Uitvoerende	ADJ
Raad	NOUN
te	PART
lei	VERB
in	ADP
die	DET
uitvoer	NOUN
van	ADP
die	DET
mandaat	NOUN
wat	PRON
in	ADP
die	DET
2004-verkiesing	NOUN
aan	ADP
die	DET
African	PROPN
National	PROPN
Congres	PROPN
toegeken	VERB
is	AUX
,	PUNCT
en	CCONJ
om	ADP
die	DET
grondslag	NOUN
te	PART
lê	VERB
vir	ADP
die	DET
na-verkiesing-administrasie	NOUN
om	ADP
dadelik	ADV
aan	ADP
die	DET
werk	NOUN
te	PART
spring	VERB
.	PUNCT
