Een	NUM
komponent	NOUN
hiervan	PRON
is	AUX
die	DET
assessering	NOUN
van	ADP
leerderprestasie	NOUN
ten	ADP
opsigte	NOUN
van	ADP
nasionale	ADJ
aanduiders	NOUN
.	PUNCT

Individue	NOUN
wat	PRON
nie	ADV
behuising	NOUN
het	VERB
nie	PART
kan	AUX
by	ADP
die	DET
plaaslike	ADJ
munisipaliteit	NOUN
of	CCONJ
,	PUNCT
indien	SCONJ
nodig	ADJ
,	PUNCT
by	ADP
die	DET
plaaslike	ADJ
of	CCONJ
nasionale	ADJ
Departement	NOUN
van	ADP
Behuising	NOUN
aansoek	NOUN
doen	VERB
om	ADP
bystand	NOUN
.	PUNCT

Meer	DET
nog	ADV
:	PUNCT
op	ADP
die	DET
30ste	SYM
herdenking	NOUN
van	ADP
die	DET
verbod	NOUN
op	ADP
die	DET
publikasie	NOUN
van	ADP
die	DET
koerante	NOUN
The	PROPN
World	PROPN
en	CCONJ
The	PROPN
Weekend	PROPN
World	PROPN
is	AUX
dit	PRON
ons	PRON
plig	NOUN
om	ADP
die	DET
volgende	ADJ
vraag	NOUN
te	PART
stel	VERB
:	PUNCT
Het	AUX
almal	PRON
van	ADP
ons	PRON
ons	PRON
verantwoordelikheid	NOUN
vir	ADP
die	DET
skep	NOUN
van	ADP
sosiale	ADJ
binding	NOUN
,	PUNCT
die	DET
bevordering	NOUN
van	ADP
'n	DET
gemeenskaplike	ADJ
gevoel	NOUN
dat	SCONJ
ons	PRON
tot	ADP
Suid-Afrika	PROPN
behoort	VERB
,	PUNCT
en	CCONJ
die	DET
versterking	NOUN
van	ADP
die	DET
gom	NOUN
wat	PRON
ons	PRON
nasie	NOUN
bymekaarhou	VERB
ten	ADP
volle	ADV
aanvaar	VERB
en	CCONJ
ons	PRON
eie	X
gemaak	VERB
?	PUNCT
