Indien	SCONJ
die	DET
reservis	NOUN
by	ADP
funksionele	ADJ
sektorpolisiëringsoperasies	NOUN
betrokke	ADJ
is	AUX
,	PUNCT
word	AUX
bykomende	ADJ
opleiding	NOUN
vereis	VERB
.	PUNCT

Sertifiseer	VERB
die	DET
vorm	NOUN
by	ADP
die	DET
klerk	NOUN
van	ADP
die	DET
hof	NOUN
en	CCONJ
dien	VERB
dit	PRON
in	ADV
.	PUNCT

Voorlopige	ADJ
belasting	NOUN
is	AUX
bedoel	VERB
om	ADP
belastingbetalers	NOUN
te	PART
help	AUX
om	ADP
hulle	PRON
belastingverpligtings	NOUN
op	ADP
'n	DET
deurlopende	ADJ
basis	NOUN
na	ADV
te	PART
kom	VERB
in	ADP
plaas	NOUN
van	ADP
om	ADP
een	NUM
maal	NOUN
per	ADP
jaar	NOUN
'n	DET
groot	ADJ
bedrag	NOUN
te	PART
moet	AUX
betaal	VERB
wanneer	PRON
hulle	PRON
aangeslaan	VERB
word	AUX
.	PUNCT

Ons	PRON
is	AUX
ook	ADV
bevoorreg	ADJ
om	ADP
Me	X
Jann	PROPN
Turner	PROPN
by	ADP
ons	PRON
te	PART
hê	VERB
,	PUNCT
die	DET
dogter	NOUN
van	ADP
Rick	PROPN
Turner	PROPN
wat	PRON
30	SYM
jaar	NOUN
gelede	ADV
deur	ADP
apartheidsagente	NOUN
vermoor	VERB
is	AUX
.	PUNCT
