As	SCONJ
die	DET
stigtingsdokument	NOUN
nie	ADV
aan	ADP
die	DET
voorwaardes	NOUN
van	ADP
Artikel	NOUN
30	SYM
van	ADP
die	DET
Wet	NOUN
op	ADP
Organisasies	NOUN
sonder	ADP
Winsoogmerk	NOUN
,	PUNCT
1997	SYM
voldoen	VERB
nie	PART
,	PUNCT
moet	AUX
'n	DET
geskrewe	ADJ
onderneming	NOUN
wat	PRON
deur	ADP
die	DET
aansoeker	NOUN
onderteken	VERB
is	AUX
,	PUNCT
saam	ADV
met	ADP
die	DET
aansoekvorm	NOUN
ingedien	VERB
word	AUX
.	PUNCT

Die	DET
leerareaverklaring	NOUN
vir	ADP
elke	PRON
amptelike	ADJ
taal	NOUN
verskyn	VERB
in	ADP
drie	NUM
afsonderlike	ADJ
dele	NOUN
:	PUNCT
Huistaal	NOUN
,	PUNCT
Eerste	ADJ
Addisionele	ADJ
Taal	NOUN
en	CCONJ
Tweede	ADJ
Addisionele	ADJ
Taal	NOUN
.	PUNCT

Dieselfde	PRON
geld	VERB
ook	ADV
vir	ADP
alle	DET
kliënte	NOUN
van	ADP
Absa	X
,	PUNCT
FNB	X
,	PUNCT
Nedbank	PROPN
en	CCONJ
Standard	PROPN
Bank	NOUN
wat	PRON
die	DET
internetbankdiens	NOUN
gebruik	VERB
.	PUNCT
