بن	PROPN
عامي	X
يأمل	VERB
في	ADP
التوصل	NOUN
الى	ADP
اتفاق	NOUN
اولي	ADJ
وسريع	ADJ
مع	ADP
الفلسطينيين	NOUN

عضو	NOUN
في	ADP
"	PUNCT
الإخوان	NOUN
"	PUNCT
يسأل	VERB
الهضيبي	X
:	PUNCT
متى	DET
ننادي	X
حي	INTJ
على	ADP
الجهاد	NOUN
!	PUNCT

كما	CCONJ
ارتفعت	VERB
الصادرات	NOUN
البترولية	ADJ
بنسبة	NOUN
52	NUM
%	SYM
لتصل	VERB
إلى	ADP
مليار	NUM
و	CCONJ
780	NUM
مليون	NUM
دولار	NOUN
.	PUNCT

وأشار	CCONJ
مسؤول	NOUN
عن	ADP
شئون	NOUN
المعارض	NOUN
لمصلحة	NOUN
التنمية	NOUN
التجارية	ADJ
المحلية	ADJ
"	PUNCT
ان	CCONJ
المصلحة	NOUN
قد	AUX
اتخذت	VERB
اجراءات	NOUN
صحية	ADJ
صارمة	ADJ
منقطعة	ADJ
النظير	NOUN
فى	ADP
هذا	DET
المعرض	NOUN
بهدف	NOUN
الوقاية	NOUN
من	ADP
مرض	NOUN
السارس	X
.	PUNCT
ومما	DET
يسرنا	VERB
اننا	PRON
لم	PART
نكتشف	VERB
أية	ADJ
حالة	NOUN
سارس	X
حتى	ADP
الان	NOUN
.	PUNCT
وان	CCONJ
الاجراءات	NOUN
الصحية	ADJ
المتخذة	ADJ
فى	ADP
هذه	DET
المرة	NOUN
قد	PART
تتبنى	VERB
ايضا	ADV
فى	ADP
المعارض	NOUN
المقبلة	ADJ
,	PUNCT
بحيث	ADP
ستصبح	VERB
المعارض	NOUN
المقامة	ADJ
فى	ADP
هونغ	X
كونغ	X
أفضل	ADJ
المعارض	NOUN
صحة	NOUN
ونظافة	NOUN
فى	ADP
العالم	NOUN
.	PUNCT
"	PUNCT
وقال	VERB
المسؤول	NOUN
ان	CCONJ
هذا	DET
المعرض	NOUN
لعب	VERB
دورا	NOUN
مساندا	ADJ
حيال	ADP
المؤسسات	NOUN
المتوسطة	ADJ
والصغيرة	ADJ
بهونغ	X
كونغ	X
,	PUNCT
مما	CCONJ
قدم	VERB
مساهمة	NOUN
فى	ADP
تطوير	NOUN
الاقتصاد	NOUN
الهونغ	X
كونغى	X
وأضفى	VERB
جمالا	NOUN
على	ADP
صورة	NOUN
هونغ	X
كونغ	X
.	PUNCT

ذكر	VERB
الرئيس	NOUN
الايرانى	ADJ
محمد	NOUN
خاتمى	X
اليوم	NOUN
السبت	NOUN
ان	CCONJ
سيطرة	NOUN
الشعب	NOUN
العراقى	ADJ
على	ADP
مصيره	NOUN
سيفيد	VERB
العراق	NOUN
ومنطقة	NOUN
الخليج	NOUN
والعالم	NOUN
باسره	ADV
.	PUNCT
