Да	INTJ
,	PUNCT
понякога	ADV
са	AUX
необходими	ADJ
и	CCONJ
подобни	ADJ
малки	ADJ
заговори	NOUN
!	PUNCT

Дори	PART
това	DET
леко	ADJ
разголване	NOUN
шокира	VERB
мъжа	NOUN
от	ADP
двайсетия	ADJ
век	NOUN
,	PUNCT
но	CCONJ
смущението	NOUN
му	PRON
беше	AUX
толкова	ADV
симпатично	ADJ
,	PUNCT
че	SCONJ
тя	PRON
реши	VERB
да	AUX
се	PRON
позабавлява	VERB
.	PUNCT

Френският	ADJ
плеймейкър	NOUN
на	ADP
"	PUNCT
Ювентус	PROPN
"	PUNCT
Зинедин	PROPN
Зидан	PROPN
спечели	VERB
наградата	NOUN
на	ADP
ФИФА	PROPN
за	ADP
футболист	NOUN
на	ADP
годината	NOUN
за	ADP
втори	ADJ
път	NOUN
в	ADP
своята	DET
кариера	NOUN
.	PUNCT

Разбира	VERB
се	PRON
,	PUNCT
няма	VERB
съмнение	NOUN
,	PUNCT
че	SCONJ
тиражираната	ADJ
идея	NOUN
е	AUX
част	NOUN
от	ADP
цената	NOUN
за	ADP
включването	NOUN
им	PRON
в	ADP
листите	NOUN
на	ADP
ОДС	PROPN
за	ADP
XXIX	ADJ
парламент	NOUN
.	PUNCT

"	PUNCT
Янке	PROPN
,	PUNCT
бир	X
дакика	X
"	PUNCT
,	PUNCT
включва	VERB
се	PRON
зетят	NOUN
Андон	PROPN
с	ADP
единственото	ADJ
,	PUNCT
което	PRON
знае	VERB
на	ADP
турски	ADJ
-	PUNCT
"	PUNCT
една	NUM
минутка	NOUN
"	PUNCT
да	AUX
я	PRON
прекъсне	VERB
.	PUNCT
