Не	PART
можеше	VERB
да	AUX
й	PRON
се	PRON
сърди	VERB
,	PUNCT
това	DET
последно	ADJ
раждане	NOUN
бе	AUX
отнело	VERB
не	INTJ
само	ADV
блестящото	ADJ
й	PRON
здраве	NOUN
,	PUNCT
бе	AUX
я	PRON
превърнало	VERB
във	ADP
вечно	ADV
болнава	ADJ
,	PUNCT
застаряваща	ADJ
бързо	ADV
жена	NOUN
.	PUNCT

"	PUNCT
На	ADP
влизане	NOUN
в	ADP
циганската	ADJ
махала	NOUN
отдясно	ADV
притича	VERB
дете	NOUN
"	PUNCT
,	PUNCT
пише	VERB
в	ADP
обясненията	NOUN
си	PRON
машинистът	NOUN
Р.	PROPN
Н.	PROPN

"	PUNCT
Янке	PROPN
,	PUNCT
бир	X
дакика	X
"	PUNCT
,	PUNCT
включва	VERB
се	PRON
зетят	NOUN
Андон	PROPN
с	ADP
единственото	ADJ
,	PUNCT
което	PRON
знае	VERB
на	ADP
турски	ADJ
-	PUNCT
"	PUNCT
една	NUM
минутка	NOUN
"	PUNCT
да	AUX
я	PRON
прекъсне	VERB
.	PUNCT

В	ADP
книгата	NOUN
Путин	PROPN
е	AUX
представен	VERB
единствено	ADV
като	ADP
"	PUNCT
майстор	NOUN
на	ADP
спорта	NOUN
по	ADP
джудо	NOUN
и	CCONJ
самбо	NOUN
,	PUNCT
заслужил	ADJ
треньор	NOUN
на	ADP
Русия	PROPN
"	PUNCT
,	PUNCT
без	ADP
да	AUX
се	PRON
споменава	VERB
,	PUNCT
че	SCONJ
е	AUX
президент	NOUN
.	PUNCT

Сигнал	NOUN
за	ADP
надигането	NOUN
на	ADP
недоволство	NOUN
срещу	ADP
Михайлова	PROPN
е	AUX
публичното	ADJ
й	PRON
освиркване	NOUN
от	ADP
местния	ADJ
актив	NOUN
във	ADP
Варна	PROPN
преди	ADP
месец	NOUN
.	PUNCT
