Bei	ADP
Silizium	NOUN
-	PUNCT
Transistoren	NOUN
gilt	VERB
UBE	PROPN
=	SYM
0,6	NUM
V	NOUN
,	PUNCT
deshalb	ADV
liegen	VERB
am	ADP
Emitterwiderstand	NOUN
etwa	ADV
1,5	NUM
V	NOUN
und	CCONJ
es	PRON
fließt	VERB
1,5	NUM
mA	PRON
Kollektorstrom	NOUN
.	PUNCT

Zudem	ADV
jährt	VERB
sich	PRON
am	ADP
7.	ADJ
Mai	NOUN
die	DET
Bombardierung	NOUN
der	DET
chinesischen	ADJ
Botschaft	NOUN
in	ADP
Belgrad	PROPN
.	PUNCT

Sega	PROPN
hatte	AUX
gehofft	VERB
,	PUNCT
wieder	ADV
in	ADP
die	DET
Gewinnzone	NOUN
zu	PART
kommen	VERB
,	PUNCT
nachdem	SCONJ
im	ADP
Geschäftsjahr	NOUN
1997/98	NUM
bereits	ADV
rund	ADV
300	NUM
Millionen	NOUN
Dollar	NOUN
in	ADP
der	DET
Kasse	NOUN
gefehlt	VERB
hatten	AUX
.	PUNCT

Dass	SCONJ
bei	ADP
den	DET
Bewerbungen	NOUN
aus	ADP
Europa	PROPN
die	DET
Schweiz	PROPN
die	DET
Nase	NOUN
vorne	ADV
hat	AUX
,	PUNCT
liegt	VERB
an	ADP
den	DET
Bewerbungen	NOUN
der	DET
International	X
Air	X
Transport	X
Association	X
(	PUNCT
.travel	PROPN
)	PUNCT
,	PUNCT
der	DET
Weltgesundheitsorganisation	NOUN
(	PUNCT
.health	X
)	PUNCT
und	CCONJ
des	DET
Weltpostvereins	NOUN
(	PUNCT
.post	PROPN
)	PUNCT
,	PUNCT
die	PRON
allesamt	ADV
ihren	PRON
Sitz	NOUN
in	ADP
der	DET
neutralen	ADJ
Schweiz	PROPN
haben	AUX
.	PUNCT

Big	PROPN
Brother	PROPN
Steve	PROPN
hat	AUX
nicht	PART
einmal	ADV
mehr	ADV
eine	DET
letzte	ADJ
Überraschung	NOUN
zu	PART
bieten	VERB
,	PUNCT
seine	PRON
Rede	NOUN
sei	AUX
"	PUNCT
Ja	INTJ
,	PUNCT
ja	INTJ
,	PUNCT
nein	INTJ
,	PUNCT
nein	INTJ
"	PUNCT
.	PUNCT
