...	SYM

So	ADV
,	PUNCT
hmmmm	INTJ
indeed	ADV
.	PUNCT

Greendale	PROPN
likely	ADV
refers	VERB
to	ADP
green	ADJ
river	NOUN
valley	NOUN
--	PUNCT
i.e.	X
,	PUNCT
Cairo	PROPN
's	PART
Egyptian	ADJ
Islamic	PROPN
Jihad	PROPN
or	CCONJ
the	DET
Islamic	PROPN
Group	PROPN
.	PUNCT

But	CCONJ
you	PRON
need	VERB
to	PART
ask	VERB
yourself	PRON
do	AUX
you	PRON
feel	VERB
the	DET
same	ADJ
way	NOUN
?	PUNCT

In	ADP
Microsoft	PROPN
Access	PROPN
2000	NUM
using	VERB
ADOX	PROPN
,	PUNCT
you	PRON
could	AUX
programmatically	ADV
create	VERB
queries	NOUN
that	SCONJ
used	VERB
ANSI-92	PROPN
SQL	PROPN
syntax	NOUN
.	PUNCT
