http://www.laweekly.com/general/features/satan-loves-you/13454/	X

No	INTJ
.	PUNCT

You	PRON
may	AUX
want	VERB
to	PART
discuss	VERB
with	ADP
Becky	PROPN
.	PUNCT

I	PRON
'm	AUX
assuming	VERB
this	PRON
was	AUX
in	ADP
reference	NOUN
to	ADP
the	DET
January	PROPN
earthquake	NOUN
,	PUNCT
do	AUX
n't	PART
worry	VERB
,	PUNCT
it	PRON
was	AUX
very	ADV
deep	ADJ
,	PUNCT
so	ADV
nothing	PRON
was	AUX
effected	VERB
:)	SYM

Such	DET
a	DET
convenient	ADJ
location	NOUN
as	ADV
well	ADV
with	SCONJ
coffee	NOUN
shop	NOUN
and	CCONJ
bradley	PROPN
food	PROPN
and	CCONJ
beverage	PROPN
right	ADV
around	ADP
corner	NOUN
.	PUNCT

The	DET
Andy	PROPN
Warhol	PROPN
Foundation	PROPN
for	ADP
the	DET
Visual	PROPN
Arts	PROPN
made	VERB
two	NUM
donations	NOUN
to	ADP
USI	PROPN
Art	PROPN
Collections	NOUN
,	PUNCT
in	ADP
2007	NUM
and	CCONJ
a	DET
second	NOUN
recently	ADV
.	PUNCT
