http://www.nea.fr/html/rp/chernobyl/c01.html	X

Queso	NOUN
should	AUX
not	PART
be	AUX
watery	ADJ
:(	SYM
.....	PUNCT

Ok	INTJ
--	PUNCT
fine	INTJ
.	PUNCT

While	SCONJ
it	PRON
's	AUX
not	PART
as	ADV
cold	ADJ
as	SCONJ
in	ADP
the	DET
northern	ADJ
states	NOUN
during	ADP
the	DET
winter	NOUN
,	PUNCT
it	PRON
does	AUX
freeze	VERB
sometimes	ADV
,	PUNCT
and	CCONJ
temperatures	NOUN
in	ADP
the	DET
30s	NOUN
°	NOUN
F	PROPN
(	PUNCT
that	PRON
's	AUX
around	ADV
or	CCONJ
slightly	ADV
above	ADP
0	NUM
°	NOUN
C	PROPN
)	PUNCT
are	AUX
not	PART
unheard	ADJ
of	ADP
.	PUNCT
