http://www.petsathome.com/shop/combi-1-dwarf-hamster-cage-by-ferplast-15986	X

I	PRON
meant	VERB
"	PUNCT
please	INTJ
"	PUNCT
!	PUNCT
said	VERB
Harry	PROPN
quickly	ADV
.	PUNCT

Whereas	SCONJ
the	DET
peoples	NOUN
of	ADP
the	DET
United	PROPN
Nations	PROPN
have	AUX
in	ADP
the	DET
Charter	NOUN
reaffirmed	VERB
their	DET
faith	NOUN
in	ADP
fundamental	ADJ
human	ADJ
rights	NOUN
,	PUNCT
in	ADP
the	DET
dignity	NOUN
and	CCONJ
worth	NOUN
of	ADP
the	DET
human	ADJ
person	NOUN
and	CCONJ
in	ADP
the	DET
equal	ADJ
rights	NOUN
of	ADP
men	NOUN
and	CCONJ
women	NOUN
and	CCONJ
have	AUX
determined	VERB
to	PART
promote	VERB
social	ADJ
progress	NOUN
and	CCONJ
better	ADJ
standards	NOUN
of	ADP
life	NOUN
in	ADP
larger	ADJ
freedom	NOUN
;	PUNCT

The	DET
labor	NOUN
-	PUNCT
participation	NOUN
rate	NOUN
for	ADP
women	NOUN
with	ADP
post	NOUN
-	PUNCT
secondary	ADJ
education	NOUN
is	AUX
64	NUM
%	SYM
,	PUNCT
far	ADJ
exceeding	VERB
the	DET
35	NUM
%	SYM
rate	NOUN
for	ADP
those	PRON
with	ADP
only	ADV
a	DET
primary	ADJ
or	CCONJ
middle	ADJ
-	PUNCT
school	NOUN
education	NOUN
.	PUNCT
