One	NUM
of	ADP
them	PRON
was	AUX
from	ADP
the	DET
Jubur	PROPN
tribe	NOUN
and	CCONJ
was	AUX
deputy	NOUN
commander	NOUN
of	ADP
the	DET
Hawijah	PROPN
garrison	NOUN
.	PUNCT

That	PRON
said	VERB
,	PUNCT
the	DET
maintenance	NOUN
of	ADP
this	DET
forum	NOUN
is	AUX
handled	VERB
by	ADP
Google	PROPN
and	CCONJ
thus	ADV
will	AUX
remain	VERB
reliable	ADJ
and	CCONJ
it	PRON
will	AUX
ultimately	ADV
give	VERB
us	PRON
more	ADJ
time	NOUN
to	PART
play	VERB
:)	SYM
.	PUNCT

Despite	ADP
the	DET
common	ADJ
perception	NOUN
that	SCONJ
Cleveland	PROPN
is	AUX
an	DET
industrial	ADJ
town	NOUN
,	PUNCT
just	ADV
beyond	ADP
the	DET
automotive	ADJ
and	CCONJ
steel	NOUN
plants	NOUN
,	PUNCT
a	DET
clean	ADJ
and	CCONJ
beautiful	ADJ
downtown	NOUN
rises	VERB
at	ADP
the	DET
mouth	NOUN
of	ADP
the	DET
Cuyahoga	PROPN
River	PROPN
on	ADP
the	DET
southern	ADJ
shore	NOUN
of	ADP
Lake	PROPN
Erie	PROPN
(	PUNCT
often	ADV
marvelled	VERB
over	ADP
by	ADP
visitors	NOUN
who	PRON
are	AUX
surprised	VERB
you	PRON
ca	AUX
n't	PART
see	VERB
the	DET
other	ADJ
side	NOUN
,	PUNCT
i.e.	X
,	PUNCT
Canada	PROPN
)	PUNCT
.	PUNCT

Sputnik	PROPN
Bar	NOUN
,	PUNCT
eh	INTJ
?	PUNCT

I	PRON
would	AUX
also	ADV
like	VERB
to	PART
point	VERB
out	ADP
,	PUNCT
Madam	NOUN
President	NOUN
,	PUNCT
that	SCONJ
this	DET
Parliament	NOUN
voted	VERB
to	PART
express	VERB
its	DET
confidence	NOUN
in	ADP
President	NOUN
Prodi	PROPN
during	ADP
the	DET
previous	ADJ
legislature	NOUN
.	PUNCT
