____________________________________________________	SYM

Carol	PROPN
St.	PROPN
Clair	PROPN
EB	PROPN
3889	NUM
713-853-3989	NUM
(	PUNCT
Phone	NOUN
)	PUNCT
713-646-3393	NUM
(	PUNCT
Fax	NOUN
)	PUNCT
carol.st.clair@enron.com	X

Yep	INTJ
,	PUNCT
the	DET
females	NOUN
are	AUX
just	ADV
getting	VERB
to	ADP
him	PRON
...	PUNCT
dads	NOUN
..	PUNCT

Somewhere	ADV
in	ADP
between	ADP
his	PRON
rudeness	NOUN
he	PRON
asked	VERB
if	SCONJ
we	PRON
smoked	VERB
.	PUNCT

In	ADP
a	DET
2003	NUM
interview	NOUN
with	ADP
the	DET
Associated	PROPN
Press	PROPN
,	PUNCT
Rick	PROPN
Santorum	PROPN
compared	VERB
legalizing	VERB
same-sex	ADJ
marriage	NOUN
in	ADP
the	DET
United	PROPN
States	PROPN
to	PART
supporting	VERB
bestiality	NOUN
.	PUNCT

Harry	PROPN
crossed	VERB
to	ADP
his	PRON
bedroom	NOUN
on	ADP
tiptoe	NOUN
,	PUNCT
slipped	VERB
inside	ADV
,	PUNCT
closed	VERB
the	DET
door	NOUN
and	CCONJ
turned	VERB
to	PART
collapse	VERB
on	ADP
his	PRON
bed	NOUN
.	PUNCT
