Please	INTJ
check	VERB
out	ADP
my	PRON
who	PRON
let	VERB
the	DET
dog	NOUN
out	ADP
blog	NOUN
.	PUNCT

Sonya	PROPN
City	PROPN

2	X
)	PUNCT
PG&E	NOUN
-	PUNCT
Swap	NOUN
with	ADP
Enron	PROPN
Europe	PROPN
Ltd.	PROPN
(	PUNCT
3	NUM
in	ADP
total	ADJ
)	PUNCT

I	PRON
am	AUX
17	NUM
years	NOUN
old	ADJ
.	PUNCT

I	PRON
can	AUX
rent	VERB
another	DET
machine	NOUN
for	ADP
like	ADV
$	SYM
60	NUM
that	PRON
will	AUX
give	VERB
it	PRON
a	DET
finished	VERB
look	NOUN
.	PUNCT

Boyish	ADJ
,	PUNCT
bearded	VERB
(	PUNCT
the	DET
beard	NOUN
is	AUX
short	ADJ
and	CCONJ
copper-brown	ADJ
)	PUNCT
,	PUNCT
nervous	ADJ
,	PUNCT
a	ADV
bit	NOUN
high	ADJ
,	PUNCT
thinner	ADJ
than	ADP
when	SCONJ
I	PRON
saw	VERB
him	PRON
last	ADV
,	PUNCT
he	PRON
carries	VERB
a	DET
cardboard	NOUN
valise	NOUN
containing	VERB
books	NOUN
and	CCONJ
booze	NOUN
and	CCONJ
pyjamas	NOUN
and	CCONJ
a	DET
house	NOUN
present	NOUN
.	PUNCT

They	PRON
grabbed	VERB
what	PRON
they	PRON
could	AUX
get	VERB
for	ADP
the	DET
sake	NOUN
of	ADP
what	PRON
was	AUX
to	PART
be	AUX
got	VERB
.	PUNCT
