No	PART
obstante	NOUN
,	PUNCT
el	DET
crecimiento	NOUN
acumulado	ADJ
en	ADP
los	DET
seis	NUM
primeros	ADJ
meses	NOUN
del	ADP
año	NOUN
ha	AUX
motivado	VERB
que	SCONJ
las	DET
matriculaciones	NOUN
ofrezcan	VERB
un	DET
resultado	NOUN
positivo	ADJ
del	ADP
5,5	NUM
por	ADP
ciento	NUM
,	PUNCT
al	ADP
pasar	VERB
de	ADP
las	DET
722.211	NUM
unidades	NOUN
de	ADP
enero-junio	NOUN
de	ADP
1999	NOUN
a	ADP
761.647	NUM
del	ADP
presente	ADJ
ejercicio	NOUN
.	PUNCT

Pese	NOUN
a	ADP
este	DET
aumento	NOUN
de	ADP
la	DET
facturación	NOUN
,	PUNCT
los	DET
beneficios	NOUN
netos	ADJ
cayeron	VERB
el	DET
3%	SYM
hasta	ADP
164.500	NUM
millones	NOUN
de	ADP
pesetas	NOUN
.	PUNCT

En	ADP
los	DET
campos	NOUN
es	AUX
pitado	VERB
,	PUNCT
odiado	VERB
y	CCONJ
también	ADV
le	PRON
quieren	VERB
mucho	PRON
,	PUNCT
sobre	ADP
todo	PRON
en	ADP
el	DET
Santiago	PROPN
Bernabéu	PROPN
,	PUNCT
campo	NOUN
donde	ADV
juega	VERB
partido	NOUN
sí	INTJ
partido	NOUN
no	ADV
.	PUNCT

Representantes	NOUN
de	ADP
esa	DET
ONG	X
y	CCONJ
otros	DET
activistas	NOUN
demandaron	VERB
del	ADP
Gobierno	NOUN
mexicano	ADJ
"	PUNCT
que	SCONJ
se	PRON
proteja	VERB
el	DET
último	ADJ
eslabón	NOUN
de	ADP
la	DET
cadena	NOUN
sobre	ADP
el	DET
que	SCONJ
está	AUX
pendiendo	VERB
la	DET
vida	NOUN
de	ADP
muchísimas	DET
personas	NOUN
"	PUNCT
,	PUNCT
en	ADP
alusión	NOUN
al	ADP
papel	NOUN
que	SCONJ
juegan	VERB
los	DET
defensores	NOUN
de	ADP
derechos	NOUN
humanos	ADJ
.	PUNCT

En	ADP
este	DET
tiempo	NOUN
eran	AUX
sobre	ADP
todo	PRON
parte	NOUN
del	ADP
equipo	NOUN
militar	ADJ
protegiendo	VERB
la	DET
cabeza	NOUN
contra	ADP
brechas	NOUN
de	ADP
corte	NOUN
con	ADP
las	DET
espadas	NOUN
y	CCONJ
las	DET
heridas	NOUN
por	ADP
flecha	NOUN
.	PUNCT
