Adiós	INTJ
,	PUNCT
Copa	PROPN
de	ADP
la	DET
UEFA	PROPN
.	PUNCT

La	DET
"	PUNCT
monumental	ADJ
"	PUNCT
metedura	NOUN
de	ADP
pata	NOUN
del	ADP
jefe	NOUN
del	ADP
Gobierno	PROPN
no	PART
sólo	ADV
no	ADV
le	PRON
ha	AUX
puesto	VERB
contra	ADP
las	DET
cuerdas	NOUN
,	PUNCT
sino	CCONJ
que	SCONJ
ha	AUX
obligado	VERB
a	ADP
sus	DET
colaboradores	NOUN
,	PUNCT
en	ADP
una	DET
situación	NOUN
embarazosa	ADJ
,	PUNCT
a	ADP
justificarla	VERB
"	PUNCT
con	ADP
cuentagotas	NOUN
"	PUNCT
,	PUNCT
a	ADP
medida	NOUN
que	SCONJ
pasan	VERB
los	DET
días	NOUN
,	PUNCT
apuntan	VERB
los	DET
analistas	NOUN
.	PUNCT

También	ADV
dijo	VERB
que	SCONJ
el	DET
Govern	PROPN
hará	VERB
un	DET
"	PUNCT
esfuerzo	NOUN
especial	ADJ
"	PUNCT
en	ADP
inversión	NOUN
,	PUNCT
que	PRON
crecerá	VERB
al	ADP
menos	ADV
como	SCONJ
el	DET
producto	NOUN
interior	ADJ
bruto	ADJ
(	PUNCT
PIB	PROPN
)	PUNCT
nominal	ADJ
,	PUNCT
el	DET
6,1%	SYM
,	PUNCT
el	DET
3,9%	SYM
real	ADJ
(	PUNCT
restada	VERB
la	DET
inflación	NOUN
)	PUNCT
.	PUNCT

Las	DET
Cortes	NOUN
Generales	PROPN
tenían	VERB
tres	NUM
brazos	NOUN
:	PUNCT
el	DET
brazo	NOUN
militar	ADJ
,	PUNCT
que	SCONJ
reunía	VERB
los	DET
representantes	NOUN
de	ADP
la	DET
nobleza	NOUN
;	PUNCT

Reaparece	VERB
en	ADP
el	DET
máximo	ADJ
circuito	NOUN
el	DET
8	NUM
de	ADP
julio	PROPN
de	ADP
1956	NUM
perdiendo	VERB
ante	ADP
el	DET
Zacatepec	PROPN
por	ADP
2-1	X
.	PUNCT
