sulev@ekspress.ee	SYM

"	PUNCT
Ah	INTJ
õigus	NOUN
jah	ADV
,	PUNCT
Urve	PROPN
on	AUX
mul	PRON
küll	ADV
!	PUNCT
"	PUNCT

Kusjuures	ADV
tal	PRON
on	AUX
lisaks	NOUN
sugukuuluvus-muredele	NOUN
(	PUNCT
pressikonverentsil	NOUN
nimetavad	VERB
venelased	NOUN
teda	PRON
vaheldumisi	ADV
"	PUNCT
-iks	NOUN
"	PUNCT
ja	CCONJ
"	PUNCT
-ks	NOUN
"	PUNCT
)	PUNCT
teatud	ADJ
komplikatsioone	NOUN
ka	ADV
pikkusega	NOUN
:	PUNCT
kord	ADV
käib	VERB
ta	PRON
laval	NOUN
karkudel	NOUN
,	PUNCT
kord	ADV
venib	VERB
ta	PRON
ligi	ADV
viiemeetriseks	ADJ
metallist	NOUN
seeliku	NOUN
otsas	ADP
,	PUNCT
ning	CCONJ
muidugi	ADV
need	DET
platvorm-buutsid	NOUN
,	PUNCT
millest	PRON
ta	PRON
ei	AUX
loobu	VERB
-	PUNCT
nagu	SCONJ
firmamaskistki	NOUN
-	PUNCT
ka	ADV
vabal	ADJ
ajal	NOUN
.	PUNCT

Lõviosa	NOUN
summadest	NOUN
kulub	VERB
lähiaastatel	NOUN
Tartu	PROPN
vangla	NOUN
ehitamiseks	NOUN
.	PUNCT

Möödunud	ADJ
nädalal	NOUN
kehtestas	VERB
Kanada	PROPN
Austria	PROPN
suhtes	ADP
samalaadsed	ADJ
diplomaatilised	ADJ
sanktsioonid	NOUN
,	PUNCT
nagu	SCONJ
on	AUX
võtnud	VERB
kasutusele	NOUN
14	NUM
Euroopa	PROPN
Liidu	PROPN
liikmesriiki	NOUN
,	PUNCT
kinnitasid	VERB
uudisteagentuurid	NOUN
eile	ADV
.	PUNCT

Organism	NOUN
vajab	VERB
kolesterooliestreid	NOUN
rasvhapete	NOUN
imendumiseks	NOUN
ja	CCONJ
kasutamiseks	NOUN
,	PUNCT
mistõttu	ADV
küllastatud	ADJ
rasvhapped	NOUN
on	AUX
organismile	NOUN
kahjulikumad	ADJ
kui	SCONJ
kolesterool	NOUN
(	PUNCT
Vokk	PROPN
,	PUNCT
tsit.	X
Jänes	PROPN
,	PUNCT
1999	NUM
)	PUNCT
.	PUNCT
