Tira	INTJ
,	PUNCT
uste	NOUN
dut	VERB
taldeak	NOUN
ez	PART
didala	AUX
konfiantza	NOUN
handirik	ADJ
erakutsi	VERB
.	PUNCT

Hau	DET
ere	CCONJ
zugandik	PRON
ikasi	VERB
dut	AUX
.	PUNCT

Elgoibarren	PROPN
Aldai	PROPN
izeneko	NOUN
transformazio-zentroari	NOUN
,	PUNCT
egitura	NOUN
trinkodun	ADJ
prefabrikatuari	VERB
(	PUNCT
13,2	NUM
KV	SYM
)	PUNCT
Administrazioaren	NOUN
baimena	NOUN
ematea	VERB
eta	CCONJ
egiteko	VERB
proiektua	NOUN
onartzea	VERB
.	PUNCT

Inoiz	ADV
baino	X
gol	NOUN
gehiago	DET
izan	VERB
dira	AUX
Eurokopan	PROPN
.	PUNCT

Nagusiki	ADV
ikuskizun	NOUN
handiak	ADJ
eta	CCONJ
talde	NOUN
profesionalak	ADJ
EASen	PROPN
sartuta	VERB
,	PUNCT
antzerkiaren	NOUN
hainbat	DET
eremuk	NOUN
txartelik	NOUN
gabe	ADP
jarraitzen	VERB
dute	AUX
.	PUNCT

Hirugarren	NUM
txanda	NOUN
egitekoa	VERB
zen	AUX
Marion	PROPN
Jones	PROPN
.	PUNCT
