Bof	INTJ
,	PUNCT
primadera	NOUN
dun	VERB
.	PUNCT

"	PUNCT
Zaila	ADJ
izango	AUX
da	AUX
,	PUNCT
baina	CCONJ
ez	PART
dut	AUX
sinesten	VERB
porrot	NOUN
egingo	VERB
dugunik	AUX
"	PUNCT
,	PUNCT
esan	VERB
zuen	AUX
Moscovicik	PROPN
.	PUNCT

BASKONIAK	PROPN
bere	DET
indarrak	NOUN
neurtzeko	VERB
aukera	NOUN
paregabea	ADJ
du	VERB
gaur	ADV
Zurbaoko	PROPN
pabilioian	NOUN
,	PUNCT
Kinder	PROPN
talde	NOUN
italiarra	ADJ
izango	VERB
baitu	AUX
aurrez	ADV
aurre	NOUN
.	PUNCT

Ez	PART
du	AUX
ezertarako	PRON
aipatzen	VERB
Estatu	NOUN
Espainolean	ADJ
dauden	VERB
atzerritarren	ADJ
eskubide	NOUN
eta	CCONJ
askatasunen	NOUN
inguruan	ADP
.	PUNCT

Horregatik	ADV
Bozak	NOUN
deitu	VERB
beharko	VERB
lituzkete	AUX
egun	NOUN
berean	DET
,	PUNCT
Serbiako	PROPN
beste	DET
lurraldeek	NOUN
bezala	ADP
,	PUNCT
eta	CCONJ
hori	DET
da	AUX
,	PUNCT
hain	ADV
zuzen	ADJ
,	PUNCT
bertako	ADJ
agintariek	NOUN
Nazio	NOUN
Batuen	ADJ
Erakundeari	NOUN
eskatu	VERB
diotena	AUX
.	PUNCT

Michael	PROPN
Zijlaard	PROPN
entrenatzaileak	NOUN
(	PUNCT
senarra	NOUN
gaur	ADV
egun	ADV
)	PUNCT
,	PUNCT
ordea	CCONJ
,	PUNCT
txirrindularitza	NOUN
baino	X
gauza	NOUN
garrantzitsuagoak	ADJ
badirela	VERB
esan	VERB
zion	AUX
,	PUNCT
eta	CCONJ
geroztik	ADV
garaipenen	NOUN
sekretua	NOUN
hori	DET
duela	AUX
dio	VERB
.	PUNCT

Aldai	PROPN
izeneko	NOUN
transformazio-zentroari	NOUN
,	PUNCT
egitura	NOUN
trinkodun	ADJ
prefabrikatuari	VERB
(	PUNCT
13,2	NUM
kv	SYM
)	PUNCT
Administrazioaren	NOUN
baimena	NOUN
ematea	VERB
eta	CCONJ
egiteko	VERB
proiektua	NOUN
onartzea	VERB
.	PUNCT
