Ez	PART
dago	VERB
bromarik	NOUN
Alavesekin	PROPN
.	PUNCT

Zurigorriek	ADJ
presio	NOUN
itzela	ADJ
egin	VERB
zioten	AUX
aurkariari	NOUN
partidu	NOUN
hasieratik	NOUN
,	PUNCT
eta	CCONJ
erraz	ADV
berreskuratzen	VERB
zuten	AUX
baloia	NOUN
.	PUNCT

Kaixo	INTJ
,	PUNCT
ni	PRON
Ganix	PROPN
naiz	AUX
.	PUNCT

Tratu	NOUN
txarrengatik	ADJ
eta	CCONJ
atxilotuak	VERB
inkomunikatuta	VERB
izateagatik	AUX
"	PUNCT
kezkatuta	VERB
"	PUNCT
daudela	AUX
esan	VERB
zuen	AUX
Vincent	PROPN
del	X
Buonok	PROPN
,	PUNCT
eta	CCONJ
horri	DET
buruz	ADP
ere	CCONJ
galdetuko	VERB
diote	AUX
Justizia	NOUN
Ministerioari	NOUN
.	PUNCT

Aldai	PROPN
izeneko	NOUN
transformazio-zentroari	NOUN
,	PUNCT
egitura	NOUN
trinkodun	ADJ
prefabrikatuari	VERB
(	PUNCT
13,2	NUM
kv	SYM
)	PUNCT
Administrazioaren	NOUN
baimena	NOUN
ematea	VERB
eta	CCONJ
egiteko	VERB
proiektua	NOUN
onartzea	VERB
.	PUNCT
