بله	INTJ
،	PUNCT
آشناییزدایی	NOUN
شد	AUX
.	PUNCT

اولی	NOUN
به	ADP
دومی	ADJ
گفت	VERB
:	PUNCT
من	PRON
۹۰	NUM
سال	NOUN
دارم	VERB
و	CCONJ
میتوانم	VERB
قسم	NOUN
بخورم	VERB
که	SCONJ
حتی	ADV
یک	NUM
دشمن	NOUN
هم	SCONJ
در	ADP
دنیا	NOUN
ندارم	VERB
.	PUNCT

ابن	X
عساکر	X
که	SCONJ
تا	ADP
حدودی	NOUN
به	ADP
بنیامیه	NOUN
لطف	NOUN
دارد	VERB
،	PUNCT
و	CCONJ
از	ADP
شجاعت	NOUN
و	CCONJ
حلم	NOUN
و	CCONJ
بخشش	NOUN
و	CCONJ
حکمت	NOUN
آنان	PRON
یاد	NOUN
میکند	VERB
،	PUNCT
درباره	ADP
یزید	NOUN
میگوید	VERB
:	PUNCT
او	PRON
گرایش	NOUN
به	ADP
شهوات	NOUN
داشت	VERB
و	CCONJ
نماز	NOUN
را	PART
هم	SCONJ
گهگاه	ADV
ترک	NOUN
میکرد	VERB
!	PUNCT

در	ADP
این	DET
مقاله	NOUN
آمده	VERB
است	VERB
:	PUNCT
طرح	NOUN
مذکور	ADJ
در	ADP
اصل	NOUN
اشتباه	NOUN
است	AUX
اگرچه	SCONJ
رأى	NOUN
زیادی	ADJ
خواهد	AUX
آورد	VERB
چرا	ADV
که	CCONJ
نمایندگان	NOUN
کنگره	NOUN
آمریکا	NOUN
نمیخواهند	VERB
به	ADP
عنوان	NOUN
جانبدار	NOUN
کشورهایی	NOUN
تلقی	NOUN
شوند	AUX
که	SCONJ
در	ADP
آمریکا	NOUN
تروریست	NOUN
خوانده	VERB
میشوند	VERB
.	PUNCT
