نه	INTJ
.	PUNCT

به	ADP
علی	NOUN
بن	X
حسین	NOUN
)	PUNCT
ع	NOUN
(	PUNCT
که	SCONJ
به	ADP
نزد	ADP
او	PRON
رفته	VERB
بود	VERB
گفت	VERB
:	PUNCT
اسمت	NOUN
چیست	ADV
؟	PUNCT

این	DET
همه	PRON
طلا	NOUN
و	CCONJ
این	DET
همه	PRON
ثروت	NOUN
از	ADP
یهود	NOUN
آمده	VERB
،	PUNCT
یک	NUM
مقدار	NOUN
هم	SCONJ
به	ADP
ما	PRON
بده	VERB
؛	PUNCT
اما	SCONJ
پیامبر	NOUN
اکرم	ADJ
با	ADP
این	PRON
که	CCONJ
زنها	NOUN
مورد	ADP
علاقهاش	NOUN
بودند	AUX
و	CCONJ
به	ADP
آنها	PRON
محبت	NOUN
داشت	VERB
و	CCONJ
نسبت	ADP
به	ADP
آنها	PRON
بسیار	ADV
خوشرفتار	ADJ
بود	AUX
،	PUNCT
ولی	CCONJ
حاضر	ADJ
نشد	AUX
به	ADP
خواستهٔ	NOUN
آنها	PRON
عمل	NOUN
کند	VERB
.	PUNCT

اصولاً	ADV
درد	NOUN
اصلی	ADJ
مردم	NOUN
در	ADP
انقلاب	NOUN
همین	PRON
بود	AUX
که	SCONJ
دین	NOUN
را	PART
در	ADP
این	DET
عرصهها	NOUN
غائب	ADJ
میدیدند	VERB
.	PUNCT
