Muutama	DET
lokki	NOUN
pilkutti	VERB
taivaan	NOUN
,	PUNCT
joka	PRON
muuttui	VERB
puhkeavan	ADJ
lehden	NOUN
vihreäksi	ADJ
mereksi	NOUN
saavuttaessaan	VERB
heidät	PRON
.	PUNCT

-	PUNCT
Entä	PART
miten	ADV
keihäs	NOUN
lentää	VERB
finaalissa	NOUN
?	PUNCT

Ostin	VERB
nimittäin	ADV
Arduinon	PROPN
,	PUNCT
tarkemmin	ADV
sanottuna	VERB
Arduino	PROPN
Unon	PROPN
,	PUNCT
joka	PRON
on	AUX
avoimen	ADJ
lähdekoodin	NOUN
mikrokontrollerikehitysalusta	NOUN
(	PUNCT
open-source	X
electronics	X
prototyping	X
platform	X
)	PUNCT
.	PUNCT

No	INTJ
,	PUNCT
ei	AUX
oltais	AUX
voitu	AUX
valita	VERB
parempaa	ADJ
paikkaa	NOUN
ja	CCONJ
aikaa	NOUN
meidän	PRON
minilomalle	NOUN
!	PUNCT

Askellan	VERB
roudasta	NOUN
maailmalle	NOUN
ja	CCONJ
jatkan	VERB
aina	ADV
horisonttiin	NOUN
saakka	ADP
.	PUNCT

Hakijoiden	NOUN
määrän	NOUN
runsasta	ADJ
kasvua	NOUN
selittää	VERB
osaltaan	NOUN
se	PRON
,	PUNCT
että	SCONJ
luvussa	NOUN
on	AUX
mukana	ADP
ensimmäistä	ADJ
kertaa	NOUN
Turun	PROPN
kauppakorkeakouluun	NOUN
hakeneet	VERB
.	PUNCT

*	PUNCT
%	SYM
-	PUNCT
Siirry	VERB
kursorin	NOUN
alla	ADP
olevan	VERB
sulkumerkin	NOUN
vastakappaleen	NOUN
kohdalle	NOUN

*	PUNCT
16.	ADJ
syyskuuta	NOUN
–	PUNCT
One-Two-Go	PROPN
Airlinesin	PROPN
lento	NOUN
269	NUM
Phuketiin	PROPN
päätyi	VERB
onnettomuuteen	NOUN
laskeutuvan	VERB
koneen	NOUN
ajauduttua	VERB
ulos	ADV
kiitoradalta	NOUN
ja	CCONJ
osuttua	VERB
puihin	NOUN
.	PUNCT
