Eli	PART
-	PUNCT
se	PRON
ei	AUX
ollut	AUX
mitään	DET
vaarallista	ADJ
?	PUNCT

"	PUNCT
Raiskisen	PROPN
kohdalla	ADP
kaikki	PRON
on	AUX
kuitenkin	PART
yhtä	NUM
kysymysmerkkiä	NOUN
"	PUNCT
,	PUNCT
hän	PRON
sanoo	VERB
.	PUNCT

Tässä	PRON
kaikessa	PRON
on	AUX
tietysti	ADV
mieltä	NOUN
vain	ADV
siinä	PRON
tapauksessa	NOUN
,	PUNCT
että	SCONJ
vaalitarkkailijoiden	NOUN
laatimilla	VERB
raporteilla	NOUN
myös	ADV
tehdään	VERB
jotain	PRON
.	PUNCT

hei	INTJ
Jipshukka	PROPN
ota	VERB
kyytssss	NOUN
...	PUNCT
tssihhhh	X
...	PUNCT

Aiemmalle	ADJ
jätepisteellä	NOUN
varustetulle	VERB
rantautumispaikalle	NOUN
Fassgrundilla	PROPN
(	PUNCT
N63	SYM
26.78	NUM
E21	SYM
47	NUM
)	PUNCT
pääsee	VERB
enää	ADV
ainoastaan	ADV
pienveneillä	NOUN
.	PUNCT

Kaijasilta	PROPN
päätti	VERB
vaihtaa	VERB
maisemaa	NOUN
löytääkseen	VERB
kadonneen	VERB
maalijyvänsä	NOUN
,	PUNCT
ja	CCONJ
uudeksi	ADJ
seuraksi	NOUN
valikoitui	VERB
VPS	PROPN
.	PUNCT
