Kolmos-	X
ja	CCONJ
nelosperheiden	NOUN
ensimmäinen	ADJ
ongelma	NOUN
on	AUX
se	PRON
,	PUNCT
että	SCONJ
lapset	NOUN
syntyvät	VERB
useimmiten	ADV
raskausviikolla	NOUN
32-36	NUM
.	PUNCT

Tämä	DET
näytelmä	NOUN
voisi	AUX
olla	AUX
tottakin	NOUN
,	PUNCT
vaikka	SCONJ
ainahan	ADV
näytelmät	NOUN
ovat	AUX
jalostettua	VERB
todellisuutta	NOUN
,	PUNCT
Kristiina	PROPN
korjaa	VERB
.	PUNCT

Onko	VERB
meillä	PRON
edes	PART
olemassa	ADV
akuankkaministeriötä	NOUN
?	PUNCT

Aivan	ADV
mahtavaa	ADJ
!	PUNCT
!	PUNCT
:)	SYM

Turkki	PROPN
ei	AUX
ole	AUX
toistaiseksi	ADV
edistynyt	VERB
olennaisesti	ADV
juuri	ADV
poliittisten	ADJ
kriteerien	NOUN
kohdalla	NOUN
aikomuksia	NOUN
koskevia	VERB
ilmoituksia	NOUN
lukuun	ADV
ottamatta	ADP
.	PUNCT

–	PUNCT
No	INTJ
jos	SCONJ
nyt	ADV
sitten	ADV
...	PUNCT

3.	ADJ
Valtio-opin	NOUN
korvaava	VERB
opetusseminaari	NOUN
:	PUNCT
Kurssilla	NOUN
sovittava	VERB
määrä	NOUN
tapaamisia	NOUN
,	PUNCT
yhteensä	ADV
noin	ADV
20	NUM
tuntia	NOUN
,	PUNCT
sekä	CCONJ
kurssin	NOUN
aikana	NOUN
tehtävä	VERB
10-20	NUM
sivun	NOUN
mittainen	ADJ
harjoitustyö	NOUN
,	PUNCT
johon	PRON
hankittava	VERB
tutkimusmateriaali	NOUN
ja	CCONJ
taustakirjallisuutta	NOUN
.	PUNCT
