Merci	INTJ
de	ADP
rester	VERB
poli	ADJ
,	PUNCT
courtois	ADJ
,	PUNCT
et	CCONJ
de	ADP
respecter	VERB
les	DET
autres	ADJ
membres	NOUN
.	PUNCT

Dans	ADP
le	DET
catch	NOUN
(	PUNCT
ou	CCONJ
lutte	NOUN
professionnelle	ADJ
au	ADP
Canada	PROPN
)	PUNCT
,	PUNCT
un	DET
manager	NOUN
(	PUNCT
ou	CCONJ
gérant	NOUN
au	ADP
Canada	PROPN
)	PUNCT
est	AUX
un	DET
personnage	NOUN
secondaire	ADJ
accompagnant	VERB
un	DET
ou	CCONJ
plusieurs	DET
catcheurs	NOUN
pendant	ADP
ses	DET
interviews	NOUN
et	CCONJ
/	SYM
ou	CCONJ
ses	DET
combats	NOUN
.	PUNCT

L'	DET
US	PROPN
Army	PROPN
,	PUNCT
qui	PRON
était	AUX
décidée	VERB
à	ADP
mener	VERB
cette	DET
entreprise	NOUN
jusqu'	ADV
à	ADP
son	DET
terme	NOUN
,	PUNCT
sélectionna	VERB
deux	NUM
projets	NOUN
conçus	VERB
respectivement	ADV
par	ADP
les	DET
sociétés	NOUN
Bell	PROPN
Helicopter	PROPN
Textron	PROPN
et	CCONJ
Hughes	PROPN
Helicopters	PROPN
.	PUNCT

Leur	DET
longueur	NOUN
peut	VERB
atteindre	VERB
environ	ADV
trois	NUM
mètres	NOUN
(	PUNCT
10	NUM
pieds	NOUN
selon	ADP
Vitruve	PROPN
)	PUNCT
,	PUNCT
et	CCONJ
le	DET
diamètre	NOUN
extérieur	ADJ
atteindre	VERB
30	NUM
cm	NOUN
pour	ADP
une	DET
conduite	NOUN
principale	ADJ
,	PUNCT
comme	ADP
celle	PRON
trouvée	VERB
sous	ADP
le	DET
decumanus	X
maximus	X
d'	ADP
Ostie	PROPN
.	PUNCT

Cette	DET
section	NOUN
ne	PART
s'	PRON
affichera	VERB
pas	ADV
si	SCONJ
vous	PRON
avez	AUX
déjà	ADV
ajouté	VERB
une	DET
question	NOUN
de	ADP
sécurité	NOUN
à	ADP
votre	DET
compte	NOUN
.	PUNCT
