Si	SCONJ
Superman	PROPN
,	PUNCT
Batman	PROPN
,	PUNCT
Spiderman	PROPN
et	CCONJ
Hulk	PROPN
traversent	VERB
les	DET
époques	NOUN
sans	ADP
véritablement	ADV
connaître	VERB
la	DET
crise	NOUN
,	PUNCT
tous	ADJ
les	DET
super	ADJ
héros	NOUN
n'	ADV
ont	VERB
pas	ADV
cette	DET
chance	NOUN
.	PUNCT

Cette	DET
chaîne	NOUN
sera	AUX
gérée	VERB
par	ADP
Television	PROPN
Media	PROPN
Korea	PROPN
une	DET
coentreprise	NOUN
crée	VERB
en	ADP
mai	NOUN
2010	NUM
par	ADP
Disney	PROPN
Channel	PROPN
International	PROPN
et	CCONJ
SK	PROPN
Telecom	PROPN
,	PUNCT
cette	DET
dernière	NOUN
détenant	VERB
51	NUM
%	SYM
.	PUNCT

L'	DET
UÇK	X
dont	PRON
les	DET
actions	NOUN
aboutirent	VERB
à	ADP
la	DET
guerre	NOUN
du	ADP
Kosovo	PROPN
se	PRON
finançait	VERB
en	ADP
partie	NOUN
via	ADP
le	DET
trafic	NOUN
d'	ADP
héroïne	NOUN
.	PUNCT

On	PRON
connaît	VERB
ça	PRON
,	PUNCT
n'	PART
est	VERB
-ce	PRON
pas	ADV
?	PUNCT

là	ADV
on	PRON
peut	VERB
dire	VERB
de	ADP
mon	DET
temps	NOUN
euh	INTJ
