בבקשה	INTJ
נא	ADV
להפסיק	VERB
את	ADP
הטרור	NOUN
של	ADP
גיבריל	PROPN
אבו	PROPN
-	PUNCT
נידאל	PROPN
וכו	ADV
.	PUNCT

האבנים	NOUN
,	PUNCT
ברקת	PROPN
(	PUNCT
אגאט	PROPN
)	PUNCT
בגוני	NOUN
חום	NOUN
וצהוב	ADJ
,	PUNCT
קווארץ	PROPN
,	PUNCT
אבן	NOUN
שקופה	ADJ
שעם	SCONJ
פריסתה	NOUN
ניתן	AUX
לראות	VERB
בה	PRON
בועות	NOUN
,	PUNCT
ואחלמה	NOUN
(	PUNCT
אמתיסט	PROPN
)	PUNCT
,	PUNCT
שעם	SCONJ
פריסתה	NOUN
נחשפת	VERB
בשלושה	NUM
צבעים	NOUN
:	PUNCT
סגול	ADJ
בגבולות	NOUN
החיצוניים	ADJ
,	PUNCT
במעגל	NOUN
השני	NUM
צבע	NOUN
אפור	ADJ
ובתווך	NOUN
כחול	ADJ
כהה	ADJ
.	PUNCT

מחירו	NOUN
הזול	ADJ
של	ADP
ה	DET
,	PUNCT
למרות	ADP
תהליכי	NOUN
העיבוד	NOUN
,	PUNCT
נובע	VERB
מכך	PRON
,	PUNCT
שמשתמשים	VERB
לייצורו	NOUN
בחלקי	NOUN
עץ	NOUN
שאי	ADV
אפשר	AUX
לנצלם	VERB
לנגרת	X
,	PUNCT
כגון	ADP
ענפים	NOUN
קטנים	ADJ
וצרים	ADJ
,	PUNCT
קטעי	NOUN
עץ	NOUN
מרובי	ADJ
"	PUNCT
עיניים	NOUN
"	PUNCT
וכדומה	CCONJ
.	PUNCT

על	ADP
-	PUNCT
אף	CCONJ
ממצאים	NOUN
אלה	PRON
אין	ADV
הקיבוצים	NOUN
עושים	VERB
הרבה	ADV
כדי	ADP
לכבוש	VERB
את	ADP
לבם	NOUN
של	ADP
העולים	NOUN
.	PUNCT
