אבל	CCONJ
נחזור	VERB
אל	ADP
פרסי	NOUN
הספרות	NOUN
,	PUNCT
שבהם	PRON
יצר	NOUN
לב	NOUN
האדם	NOUN
מתגלה	VERB
במלאות	NOUN
מיוחדת	ADJ
,	PUNCT
מצד	ADP
הזוכים	VERB
ומצד	ADP
המשקיפים	NOUN
כאחד	ADP
.	PUNCT

הקשיחויות	NOUN
בתחום	NOUN
השכר	NOUN
ובלשון	NOUN
גלויה	ADJ
יותר	ADV
,	PUNCT
האיגודים	NOUN
המקצועיים	ADJ
הלוחמים	VERB
בתקיפות	NOUN
למען	ADP
האינטרסים	NOUN
של	ADP
העובדים	NOUN
-	PUNCT
המועסקים	VERB
הם	AUX
האיום	NOUN
החמור	ADJ
ביותר	ADV
על	ADP
סיכויי	NOUN
המימוש	NOUN
של	ADP
משימות	NOUN
המשק	NOUN
בשנים	NOUN
הקרובות	ADJ
.	PUNCT

קפספבינהגרעון	X
משתנה	VERB
.	PUNCT

בבקשה	INTJ
נא	ADV
להפסיק	VERB
את	ADP
הטרור	NOUN
של	ADP
גיבריל	PROPN
אבו	PROPN
-	PUNCT
נידאל	PROPN
וכו	ADV
.	PUNCT

ארבעת	NUM
החשודים	NOUN
ברצח	NOUN
יו"ר	NOUN
הפרלמנט	NOUN
המצרי	ADJ
מסרו	VERB
מידע	NOUN
מפורט	VERB
על	ADP
מעשי	NOUN
טרור	NOUN
רבים	ADJ
,	PUNCT
אשר	SCONJ
בוצעו	VERB
בקהיר	PROPN
ובמחוזות	NOUN
אחרים	ADJ
.	PUNCT

יתר	DET
הדוברים	NOUN
בדיון	NOUN
,	PUNCT
נציגי	NOUN
התנועות	NOUN
הקיבוציות	ADJ
,	PUNCT
לא	ADV
הפנימו	VERB
עדיין	ADV
את	ADP
הקליטה	NOUN
כמרכיב	NOUN
מכריע	ADJ
בתהליך	NOUN
שיקומם	NOUN
והישרדותם	NOUN
של	ADP
הקיבוצים	NOUN
.	PUNCT
