लिहाजा	ADV
बटन	NOUN
से	ADP
सिस्टम	NOUN
जोड़ा	VERB
गया	AUX
।	PUNCT

मौसम	NOUN
विभाग	NOUN
के	ADP
एक	NUM
अधिकारी	NOUN
ने	ADP
बताया	VERB
कि	SCONJ
दिल्ली	PROPN
में	ADP
आज	NOUN
न्यूनतम	ADJ
तापमान	NOUN
६.५	NUM
डिग्री	NOUN
सेल्सियस	NOUN
रिकार्ड	X
किया	VERB
गया	AUX
जो	PRON
इस	DET
मौसम	NOUN
के	ADP
हिसाब	ADP
से	ADP
सामान्य	ADJ
है	AUX
।	PUNCT

स्कूलों	NOUN
व	CCONJ
घरों	NOUN
में	ADP
इन	DET
बच्चों	NOUN
को	ADP
हर	DET
रोज	NOUN
'	PUNCT
ये	PRON
करो	VERB
और	CCONJ
ये	PRON
न	PART
करो	VERB
'	PUNCT
की	ADP
लंबी	ADJ
फेहरिस्त	NOUN
रटाई	VERB
जाती	AUX
है	AUX
।	PUNCT

वर्षों	NOUN
बाद	ADP
भी	PART
'	PUNCT
ऐ	INTJ
मेरे	PRON
वतन	NOUN
के	ADP
लोगों	NOUN
......	PUNCT
'	PUNCT
गाने	NOUN
को	ADP
सुनकर	VERB
किसी	PRON
भी	PART
भारतीय	NOUN
की	ADP
आंखों	NOUN
में	ADP
पानी	NOUN
आ	VERB
सकता	AUX
है	AUX
।	PUNCT

इनोकी	PROPN
ने	ADP
कहा	VERB
कि	SCONJ
दोनों	NUM
देशों	NOUN
के	ADP
बीच	ADP
उच्च	ADJ
स्तरीय	ADJ
बातचीत	NOUN
के	ADP
तहत	ADP
जापान	PROPN
के	ADP
तीन	NUM
मंत्री	NOUN
द्विपक्षीय	ADJ
संबंधों	NOUN
को	ADP
बढ़ावा	NOUN
देने	VERB
के	ADP
उद्देश्य	NOUN
से	ADP
इस	DET
सप्ताह	NOUN
भारत	PROPN
आ	VERB
रहे	AUX
हैं	AUX
।	PUNCT
