वहीं	ADV
,	PUNCT
अंतिम	ADJ
मुगल	NOUN
बादशाह	NOUN
बहादुर	PROPN
शाह	PROPN
जफर	PROPN
ने	ADP
मकबरे	NOUN
की	ADP
हकीम	NOUN
-	PUNCT
ए	NOUN
-	PUNCT
वक्त	NOUN
(	PUNCT
उस	DET
समय	NOUN
का	ADP
शासक	NOUN
)	PUNCT
के	ADP
नाम	NOUN
वसीयत	NOUN
कर	VERB
दी	AUX
.	PUNCT

राज्यसभा	NOUN
के	ADP
कुल	DET
२४५	NUM
सदस्यों	NOUN
में	ADP
से	ADP
एक	NUM
तिहाई	NUM
हर	DET
दूसरे	ADJ
साल	NOUN
रिटायर	X
हो	VERB
जाते	AUX
हैं	AUX
।	PUNCT

रेलमंत्री	NOUN
के	ADP
दिन	NOUN
का	ADP
भोजन	NOUN
सादगी	NOUN
भरा	VERB
मगर	CCONJ
जायकेदार	ADJ
है	AUX
।	PUNCT

एक	NUM
अन्य	ADJ
सवाल	NOUN
के	ADP
जवाब	NOUN
में	ADP
कोलंबो	PROPN
स्थित	ADJ
अमरीकी	ADJ
दूतावास	NOUN
की	ADP
ओर	ADP
से	ADP
जारी	ADJ
आंकड़ों	NOUN
का	ADP
हवाला	NOUN
देते	VERB
हुए	AUX
उन्होंने	PRON
कहा	VERB
कि	SCONJ
श्रीलंका	PROPN
में	ADP
करीब	PART
८३०	NUM
अमरीकी	ADJ
सशस्त्र	ADJ
सैनिक	NOUN
तैनात	ADJ
हैं	AUX
,	PUNCT
जिनमें	PRON
७००	NUM
नौसैनिक	NOUN
हैं	AUX
।	PUNCT

वर्षों	NOUN
बाद	ADP
भी	PART
'	PUNCT
ऐ	INTJ
मेरे	PRON
वतन	NOUN
के	ADP
लोगों	NOUN
......	PUNCT
'	PUNCT
गाने	NOUN
को	ADP
सुनकर	VERB
किसी	PRON
भी	PART
भारतीय	NOUN
की	ADP
आंखों	NOUN
में	ADP
पानी	NOUN
आ	VERB
सकता	AUX
है	AUX
।	PUNCT
