इस	DET
दौरान	ADV
मुंबई	PROPN
में	ADP
अलग	ADJ
-	PUNCT
अलग	ADJ
घटनाओं	NOUN
में	ADP
एक	NUM
व्यक्ति	NOUN
की	ADP
मौत	NOUN
हो	VERB
गई	AUX
जबकि	CCONJ
सात	NUM
अन्य	NOUN
घायल	ADJ
हो	VERB
गए	AUX
.	PUNCT

वर्षों	NOUN
बाद	ADP
भी	PART
'	PUNCT
ऐ	INTJ
मेरे	PRON
वतन	NOUN
के	ADP
लोगों	NOUN
......	PUNCT
'	PUNCT
गाने	NOUN
को	ADP
सुनकर	VERB
किसी	PRON
भी	PART
भारतीय	NOUN
की	ADP
आंखों	NOUN
में	ADP
पानी	NOUN
आ	VERB
सकता	AUX
है	AUX
।	PUNCT

यूं	ADV
तो	PART
डॉट	PROPN
ओआरजी	PROPN
वेबसाइट	NOUN
कोई	PRON
भी	PART
व्यक्ति	NOUN
या	CCONJ
संस्था	NOUN
रजिस्टर	X
करवा	VERB
सकता	AUX
है	AUX
,	PUNCT
लेकिन	CCONJ
इसकी	PRON
पहचान	NOUN
गैर	ADJ
व्यावसायिक	ADJ
इरादों	NOUN
से	ADP
काम	NOUN
करने	VERB
वाली	ADP
संस्थाओं	NOUN
और	CCONJ
जानकारी	NOUN
पहुंचाने	VERB
वाली	ADP
संस्थाओं	NOUN
के	ADP
लिए	ADP
बनी	VERB
है	AUX
।	PUNCT

उन्होंने	PRON
कहा	VERB
कि	SCONJ
दांडी	PROPN
मार्च	PROPN
के	ADP
समापन	NOUN
में	ADP
करीब	PART
तीन	NUM
लाख	NUM
लोगों	NOUN
ने	ADP
हिस्सा	NOUN
लिया	VERB
।	PUNCT
