Egy	NUM
héten	NOUN
belül	ADP
immár	ADV
másodszor	ADV
bénította	VERB
meg	PART
a	DET
lengyel	ADJ
fővárost	NOUN
a	DET
hatalmas	ADJ
hózuhatag	NOUN
.	PUNCT

Orvosnak	NOUN
készült	VERB
,	PUNCT
de	CCONJ
rossz	ADJ
évjáratban	NOUN
jutott	VERB
az	DET
egyetem	NOUN
lépcsőjéig	NOUN
:	PUNCT
származása	NOUN
okán	NOUN
—	PUNCT
meglengették	VERB
fölötte	PRON
a	DET
numerus	PROPN
clausus	X
mocskos	ADJ
zászlaját	NOUN
—	PUNCT
úgy	ADV
elzavarták	VERB
,	PUNCT
mint	SCONJ
koldust	NOUN
a	DET
fukar	ADJ
ember	NOUN
házától	NOUN
.	PUNCT

A	DET
történet	NOUN
ismét	ADV
nemzetközi	ADJ
,	PUNCT
de	CCONJ
persze	INTJ
már	ADV
egyáltalán	ADV
nincs	VERB
semmi	DET
pikantéria	NOUN
abban	PRON
,	PUNCT
hogy	SCONJ
az	DET
egykori	ADJ
nagy	ADJ
,	PUNCT
igazi	ADJ
(	PUNCT
hidegháborús	ADJ
)	PUNCT
ellenség	NOUN
,	PUNCT
a	DET
volt	ADJ
Szovjetunió	PROPN
területe	NOUN
,	PUNCT
s	CCONJ
ebben	PRON
is	CCONJ
főként	ADV
a	DET
Baku	PROPN
környéki	ADJ
olajmező	NOUN
az	DET
összekuszálódott	ADJ
szálak	NOUN
csomópontja	NOUN
.	PUNCT

Úgy	ADV
vélekedett	VERB
,	PUNCT
hogy	SCONJ
a	DET
banditák	NOUN
"	PUNCT
élő	ADJ
pajzsként	NOUN
"	PUNCT
használják	VERB
fel	ADV
polgári	ADJ
lakosokat	NOUN
,	PUNCT
ezért	CCONJ
a	DET
civileknek	NOUN
el	ADV
kell	VERB
hagyniuk	VERB
a	DET
csecsen	ADJ
fővárost	NOUN
,	PUNCT
s	CCONJ
az	DET
orosz	ADJ
hatóságok	NOUN
"	PUNCT
mindennel	PRON
el	ADV
fogják	AUX
látni	VERB
őket	PRON
"	PUNCT
.	PUNCT

A	DET
szocdemek	NOUN
szerint	ADP
éppen	ADV
ezért	ADV
akadályozta	VERB
mind	CCONJ
a	DET
cseh	ADJ
Klaus-kabinet	NOUN
,	PUNCT
mind	CCONJ
a	DET
szlovák	ADJ
Vladimír	PROPN
Meciar	PROPN
kormánya	NOUN
az	DET
első	ADJ
—	PUNCT
és	CCONJ
szerintük	PRON
felületes	ADJ
—	PUNCT
vizsgálat	NOUN
megismétlését	NOUN
.	PUNCT
