b	X
.	PUNCT
Dinas	PROPN
Daerah	PROPN
dipimpin	VERB
oleh	ADP
seorang	DET
Kepala	NOUN
Dinas	NOUN
yang	PRON
berada	VERB
dibawah	ADP
dan	CCONJ
tanggung	NOUN
jawab	NOUN
kepada	ADP
Bupati	NOUN
Kepala	PROPN
Daerah	PROPN
.	PUNCT

Tipe	NOUN
karies	NOUN
ini	DET
sering	ADV
ditemukan	VERB
pada	ADP
pasien	NOUN
dengan	ADP
xerostomia	NOUN
,	PUNCT
kebersihan	NOUN
mulut	NOUN
yang	PRON
buruk	ADJ
,	PUNCT
pengonsumsi	NOUN
gula	NOUN
yang	PRON
tinggi	ADJ
,	PUNCT
dan	CCONJ
pengguna	NOUN
metamfetamin	NOUN
karena	SCONJ
obat	NOUN
ini	DET
membuat	VERB
mulut	NOUN
kering	ADJ
.	PUNCT

Apa	PRON
sebab	NOUN
Sultan	PROPN
Buton	PROPN
yang	PRON
pertama	ADJ
itu	DET
dilantik	VERB
/	SYM
dinobatkan	VERB
oleh	ADP
Imam	PROPN
Fathani	PROPN
?	PUNCT

Pada	ADP
1585	NUM
,	PUNCT
penjelajah	NOUN
Inggris	PROPN
John	PROPN
Davis	PROPN
adalah	AUX
orang	NOUN
Eropa	PROPN
pertama	NUM
yang	PRON
tercatat	VERB
memasuki	NOUN
teluk	NOUN
.	PUNCT

Baginda	PROPN
turut	ADV
menghapus	VERB
cukai	NOUN
yang	PRON
pernah	ADV
dikenakan	VERB
terhadap	ADP
rakyat	NOUN
bukan	PART
Islam	NOUN
di	ADP
dalam	ADP
kerajaannya	NOUN
.	PUNCT
