但し	CCONJ
、	PUNCT
この	DET
場合	NOUN
、	PUNCT
選任	VERB
さ	AUX
れる	AUX
清算人	NOUN
の	ADP
報酬	NOUN
費用	NOUN
等	NOUN
を	ADP
予納	VERB
する	AUX
必要	NOUN
が	ADP
あり	VERB
、	PUNCT
かなり	NOUN
の	ADP
負担	NOUN
と	ADP
なる	VERB
ので	SCONJ
あまり	ADV
利用	VERB
さ	AUX
れ	AUX
て	SCONJ
い	AUX
ない	AUX
。	PUNCT

12	NUM
年	NOUN
夏	NOUN
の	ADP
移籍	NOUN
市場	NOUN
で	ADP
は	ADP
、	PUNCT
リール	NOUN
の	ADP
右	NOUN
サイドバックマテュー	PROPN
・	SYM
ドゥビュシー	PROPN
の	ADP
獲得	NOUN
が	ADP
ニューカッスル	PROPN
ユナイテッド	PROPN
で	ADP
大きな	ADJ
話題	NOUN
と	ADP
なっ	VERB
た	AUX
。	PUNCT

学校	NOUN
の	ADP
まわり	NOUN
に	ADP
は	ADP
ホテル	NOUN
も	ADP
無い	ADJ
ので	SCONJ
、	PUNCT
成田	PROPN
か	PART
香取	PROPN
で	ADP
泊まる	VERB
しか	ADP
あり	VERB
ませ	AUX
ん	AUX
。	PUNCT

なぜ	ADV
なら	AUX
ば	SCONJ
,	PUNCT
私	PRON
に	ADP
その	DET
倉渕	PROPN
透	PROPN
と	ADP
守谷	PROPN
香	PROPN
の	ADP
関係	NOUN
を	ADP
知ら	VERB
れる	AUX
こと	SCONJ
は	ADP
,	PUNCT
二	NUM
人	NOUN
の	ADP
ため	NOUN
の	ADP
大きな	ADJ
収入源	NOUN
が	ADP
断た	VERB
れ	AUX
て	SCONJ
しまう	AUX
こと	SCONJ
に	ADP
なる	VERB
から	SCONJ
です	AUX
。	PUNCT

橋本	PROPN
先生	NOUN
、	PUNCT
本当に	ADV
ありがとう	INTJ
ござい	VERB
まし	AUX
た	AUX
。	PUNCT
