そらあ	INTJ
,	PUNCT
早く	ADJ
死ん	VERB
で	SCONJ
くれ	AUX
ん	AUX
と	SCONJ
困る	VERB
がな	PART
。	PUNCT

なお	CCONJ
この	DET
際	NOUN
に	ADP
院	NOUN
使	NOUN
饗応役	NOUN
を	ADP
勤め	VERB
た	AUX
の	SCONJ
は	ADP
菰野	PROPN
藩主	NOUN
土方	PROPN
雄豊	PROPN
であっ	AUX
た	AUX
。	PUNCT

魅力的	ADJ
な	AUX
敵	NOUN
や	ADP
、	PUNCT
まほろ	PROPN
の	ADP
過去	NOUN
と	ADP
優	NOUN
の	ADP
父親	NOUN
と	ADP
の	ADP
関係	NOUN
、	PUNCT
2	NUM
人	NOUN
の	ADP
生活	NOUN
や	ADP
、	PUNCT
それ	PRON
を	ADP
取り巻く	VERB
環境	NOUN
、	PUNCT
アンドロイド	PROPN
に対する	ADP
深い	ADJ
感情	NOUN
について	ADP
、	PUNCT
人気	NOUN
を	ADP
持つ	VERB
作品	NOUN
である	AUX
。	PUNCT

ASK	PROPN
で	ADP
は	ADP
男性	NOUN
が	ADP
_	NOUN
倒れ	VERB
た	AUX
後	NOUN
も	ADP
,	PUNCT
その	DET
まま	NOUN
セミナー	NOUN
を	ADP
続け	VERB
,	PUNCT
男性	NOUN
の	ADP
死亡	NOUN
が	ADP
明らか	ADJ
に	AUX
なっ	AUX
た	AUX
翌日	NOUN
の	ADP
4	NUM
日	NOUN
目	NOUN
の	ADP
セミナー	NOUN
も	ADP
最後	NOUN
まで	ADP
行っ	VERB
た	AUX
と	ADP
いい	VERB
ます	AUX
。	PUNCT

事業者	NOUN
に	ADP
は	ADP
、	PUNCT
短期間	NOUN
で	ADP
の	ADP
集客	NOUN
と	ADP
、	PUNCT
チケット	NOUN
内容	NOUN
や	ADP
1	NUM
日	NOUN
1	NUM
店舗	NOUN
限定	NOUN
という	ADP
話題性	NOUN
による	ADP
、	PUNCT
twitter	PROPN
や	ADP
facebook	PROPN
など	ADV
ソーシャルメディア	PROPN
上	NOUN
で	ADP
の	ADP
クチコミ	NOUN
効果	NOUN
を	ADP
提供	VERB
し	AUX
ます	AUX
。	PUNCT

朝日	NOUN
インタラクティブ	ADJ
および	CCONJ
ZDNet	PROPN
編集	NOUN
部	NOUN
の	ADP
見解	NOUN
・	SYM
意向	NOUN
を	ADP
示す	VERB
もの	NOUN
で	AUX
は	ADP
あり	AUX
ませ	AUX
ん	AUX
。	PUNCT
