しかし	CCONJ
2	NUM
校	NOUN
を	ADP
どちら	PRON
も	ADP
耐震	VERB
化	VERB
さ	AUX
せる	AUX
に	ADP
は	ADP
、	PUNCT
莫大	ADJ
な	AUX
費用	NOUN
が	ADP
必要	ADJ
と	ADP
さ	AUX
れ	AUX
た	AUX
。	PUNCT

もしも	ADV
この	DET
地獄	NOUN
が	ADP
実現	VERB
し	AUX
たら	AUX
閻魔	NOUN
大王	NOUN
に	ADP
管理	VERB
さ	AUX
せる	AUX
つもり	NOUN
だっ	AUX
た	AUX
模様	NOUN
。	PUNCT

「	PUNCT
パネル	NOUN
の	ADP
取り	VERB
方	NOUN
で	ADP
厳しい	ADJ
発言	NOUN
を	ADP
する	VERB
と	SCONJ
、	PUNCT
休憩時間	NOUN
に	ADP
『	PUNCT
ごめんなさい	INTJ
ね	PART
』	PUNCT
など	ADP
と	ADP
フォロー	VERB
し	AUX
て	SCONJ
まし	AUX
た	AUX
」	PUNCT
と	ADP
加藤	PROPN
アナ	PROPN
は	ADP
言う	VERB
。	PUNCT

1976	NUM
年	NOUN
、	PUNCT
講談社	PROPN
の	ADP
第	PART
12	NUM
回	NOUN
なか	NOUN
よし	PROPN
・	SYM
少女	NOUN
フレンド	NOUN
新人	NOUN
漫画	NOUN
賞	NOUN
に	ADP
「	PUNCT
光	NOUN
めざし	VERB
て	SCONJ
飛ん	VERB
で	SCONJ
いけ	AUX
」	PUNCT
が	ADP
入賞	VERB
し	AUX
、	PUNCT
同社	NOUN
の	ADP
少女	NOUN
漫画雑誌	NOUN
『	PUNCT
なか	NOUN
よし	PROPN
』	PUNCT
の	ADP
増刊	NOUN
号	NOUN
に	ADP
掲載	VERB
さ	AUX
れ	AUX
て	SCONJ
デビュー	VERB
。	PUNCT
