2012	NUM
年	NOUN
から	ADP
は	ADP
勝崎	PROPN
耕世	PROPN
が	ADP
コンディショニング	NOUN
コーチ	NOUN
と	ADP
し	VERB
て	SCONJ
在籍	VERB
する	AUX
など	ADP
、	PUNCT
時折	NOUN
日本人	NOUN
指導者	NOUN
が	ADP
いる	VERB
。	PUNCT

同	NOUN
曲	NOUN
は	ADP
当初	NOUN
経済評論家	NOUN
の	ADP
小汀	PROPN
利得	NOUN
が	ADP
歌う	VERB
予定	NOUN
だっ	AUX
た	AUX
が	SCONJ
没	NOUN
案	NOUN
と	ADP
なっ	VERB
た	AUX
ため	SCONJ
、	PUNCT
急遽	ADV
左	NOUN
が	ADP
代役	NOUN
で	ADP
歌う	VERB
こと	SCONJ
に	ADP
なっ	VERB
た	AUX
。	PUNCT

「	PUNCT
地域	NOUN
主権	NOUN
」	PUNCT
で	ADP
は	ADP
、	PUNCT
連邦国家	NOUN
に	ADP
移行	VERB
する	AUX
か	PART
の	ADP
ような	AUX
誤解	NOUN
を	ADP
招き	VERB
かね	AUX
ない	AUX
。	PUNCT

橋本	PROPN
先生	NOUN
、	PUNCT
本当に	ADV
ありがとう	INTJ
ござい	VERB
まし	AUX
た	AUX
。	PUNCT

元	ADJ
ダーク	NOUN
の	ADP
リカルド	PROPN
後任	NOUN
であり	AUX
リカルド	PROPN
に	ADP
だけ	ADP
は	ADP
信頼	NOUN
を	ADP
置く	VERB
。	PUNCT

剣士	NOUN
は	ADP
この	DET
圧縮	NOUN
を	ADP
ほぼ	ADV
一瞬	NOUN
で	ADP
行	VERB
える	AUX
ため	SCONJ
、	PUNCT
ピンチ	NOUN
を	ADP
切り抜ける	VERB
為	NOUN
の	ADP
「	PUNCT
必殺技	NOUN
」	PUNCT
と	ADP
し	VERB
て	SCONJ
度々	ADV
活用	VERB
し	AUX
て	SCONJ
いる	AUX
圧縮	NOUN
弾	NOUN
は	ADP
銃	NOUN
の	ADP
弾丸	NOUN
と	ADP
し	VERB
て	SCONJ
用い	VERB
られる	AUX
。	PUNCT

当時	NOUN
は	ADP
ザ	PROPN
・	SYM
スローバックス	PROPN
、	PUNCT
ザ	PROPN
・	SYM
アンタッチャブルズ	PROPN
と	ADP
名乗る	VERB
など	ADP
チーム	NOUN
名	NOUN
は	ADP
定まっ	VERB
て	SCONJ
い	AUX
なかっ	AUX
た	AUX
。	PUNCT

更に	ADV
コンサート	NOUN
の	ADP
後援	NOUN
会社	NOUN
も	ADP
捏造	VERB
し	AUX
た	AUX
疑惑	NOUN
が	ADP
持ち上がっ	VERB
た	AUX
。	PUNCT

そこ	PRON
で	ADP
メール	NOUN
で	ADP
質問	NOUN
事項	NOUN
を	ADP
送り	VERB
,	PUNCT
電話	NOUN
で	ADP
も	ADP
返答	NOUN
を	ADP
催促	VERB
し	AUX
まし	AUX
た	AUX
が	SCONJ
,	PUNCT
いまだ	ADV
に	ADP
全く	ADV
音沙汰	NOUN
が	ADP
あり	VERB
ませ	AUX
ん	AUX
。	PUNCT

ただ	CCONJ
、	PUNCT
カダフィ	PROPN
政権	NOUN
の	ADP
弾圧	NOUN
から	ADP
市民	NOUN
を	ADP
守る	VERB
軍事行動	NOUN
の	ADP
指揮権	NOUN
について	ADP
は	ADP
アメリカ	PROPN
に	ADP
委ね	VERB
られ	AUX
た	AUX
まま	NOUN
で	ADP
、	PUNCT
週末	NOUN
にかけて	ADP
NATO	PROPN
で	ADP
協議	VERB
さ	AUX
れ	AUX
ます	AUX
。	PUNCT
