こうして	CCONJ
、	PUNCT
「	PUNCT
永	PROPN
仁	PROPN
の	ADP
壺	NOUN
」	PUNCT
を	ADP
含む	VERB
3	NUM
件	NOUN
の	ADP
重要文化財	NOUN
陶器	NOUN
は	ADP
1961	NUM
年	NOUN
4月	NOUN
10	NUM
日	NOUN
付け	NOUN
で	ADP
指定	NOUN
を	ADP
解除	VERB
さ	AUX
れ	AUX
、	PUNCT
文部	NOUN
技官	NOUN
・	SYM
文化財	NOUN
専門	NOUN
審議会	NOUN
委員	NOUN
小山	PROPN
富士夫	PROPN
は	ADP
、	PUNCT
責任	NOUN
を	ADP
取っ	VERB
て	SCONJ
辞任	VERB
し	AUX
た	AUX
。	PUNCT

マイクロソフト	PROPN
の	ADP
Web	PROPN
サイト	NOUN
で	ADP
キャンペーン	NOUN
について	ADP
告知	VERB
し	AUX
、	PUNCT
認知	NOUN
を	ADP
広める	VERB
ほか	NOUN
、	PUNCT
イー・モバイル	PROPN
と	ADP
も	ADP
協力	VERB
。	PUNCT

近代	NOUN
において	ADP
圧倒的	ADJ
な	AUX
影響力	NOUN
を	ADP
与え	VERB
た	AUX
西欧	NOUN
文明	NOUN
は	ADP
現在	NOUN
で	ADP
は	ADP
二面性	NOUN
が	ADP
あり	VERB
、	PUNCT
それ	PRON
は	ADP
圧倒的	ADJ
な	AUX
優位	NOUN
を	ADP
誇る	VERB
先進的	ADJ
な	AUX
文明	NOUN
という	ADP
側面	NOUN
と	ADP
、	PUNCT
相対的	ADJ
に	AUX
衰弱	VERB
し	AUX
つつ	SCONJ
ある	VERB
衰退	NOUN
途上	NOUN
の	ADP
文明	NOUN
という	ADP
側面	NOUN
である	AUX
。	PUNCT

ま	INTJ
、	PUNCT
場所柄	VERB
し	AUX
かた	NOUN
が	ADP
私	PRON
も	ADP
外国人	NOUN
の	ADP
友達	NOUN
を	ADP
連れ	VERB
て	SCONJ
行く	AUX
とき	NOUN
に	ADP
お	NOUN
世話	NOUN
に	ADP
なる	VERB
の	SCONJ
です	AUX
が	SCONJ
。	PUNCT

僕	PRON
は	ADP
自分	NOUN
で	ADP
企画	NOUN
を	ADP
立て	VERB
て	SCONJ
,	PUNCT
それ	PRON
を	ADP
局	NOUN
に	ADP
プレゼンテーション	VERB
し	AUX
て	SCONJ
,	PUNCT
通っ	VERB
たら	AUX
番組	NOUN
を	ADP
作る	VERB
という	ADP
スタンス	NOUN
な	AUX
ん	SCONJ
です	AUX
けど	SCONJ
,	PUNCT
あの	DET
時期	NOUN
は	ADP
オウム	NOUN
以外	NOUN
の	ADP
企画	NOUN
が	ADP
通ら	VERB
なかっ	AUX
た	AUX
。	PUNCT

なんか	NOUN
、	PUNCT
ほっこりする	VERB
よ	PART
ね	PART
。	PUNCT

来訪	NOUN
の	ADP
用件	NOUN
を	ADP
告げ	VERB
所長	NOUN
の	ADP
岩本	PROPN
氏	NOUN
を	ADP
呼ぶ	VERB
よう	AUX
要請	VERB
し	AUX
た	AUX
が	SCONJ
,	PUNCT
一切	NOUN
私	PRON
の	ADP
腕	NOUN
を	ADP
ドア	NOUN
で	ADP
ぐいぐい	ADV
締め付け	VERB
て	SCONJ
くる	AUX
。	PUNCT
