また	CCONJ
コミュニティ	NOUN
プラザ	NOUN
に	ADP
は	ADP
富永	PROPN
一朗	PROPN
の	ADP
原画	NOUN
が	ADP
展示	VERB
さ	AUX
れ	AUX
て	SCONJ
いる	AUX
。	PUNCT

橋本	PROPN
先生	NOUN
、	PUNCT
本当に	ADV
ありがとう	INTJ
ござい	VERB
まし	AUX
た	AUX
。	PUNCT

HP	PROPN
も	ADP
、	PUNCT
初期	NOUN
の	ADP
バージョン	NOUN
の	ADP
PA	PROPN
-	NOUN
RISC	NOUN
ワークステーション	NOUN
用	NOUN
に	ADP
設計	VERB
さ	AUX
れ	AUX
た	AUX
OSF	PROPN
/	NOUN
1	NUM
と	ADP
呼ば	VERB
れる	AUX
製品	NOUN
に	ADP
取りかかっ	VERB
て	SCONJ
い	AUX
た	AUX
が	SCONJ
、	PUNCT
ハードウェア	NOUN
の	ADP
複雑	ADJ
さ	PART
の	ADP
ため	NOUN
この	DET
プロジェクト	NOUN
は	ADP
実際	NOUN
に	ADP
は	ADP
立ち上がら	VERB
なかっ	AUX
た	AUX
。	PUNCT

駅	NOUN
周辺	NOUN
の	ADP
シンボル	NOUN
で	AUX
も	ADP
あっ	AUX
た	AUX
サントリー	PROPN
道明寺	NOUN
工場	NOUN
は	ADP
2004	NUM
年	NOUN
10月	NOUN
末	NOUN
で	ADP
操業	NOUN
を	ADP
停止	VERB
し	AUX
、	PUNCT
解体	VERB
さ	AUX
れ	AUX
た	AUX
。	PUNCT

佐助	PROPN
は	ADP
ひょんな	ADJ
ところ	NOUN
から	ADP
陰謀	NOUN
の	ADP
渦中	NOUN
に	ADP
あっ	VERB
た	AUX
小	NOUN
藩	NOUN
の	ADP
家老	NOUN
の	ADP
娘	NOUN
・	SYM
お	NOUN
市	NOUN
を	ADP
守ろ	VERB
う	AUX
と	SCONJ
、	PUNCT
京	NOUN
の	ADP
町	NOUN
へ	ADP
と	ADP
やっ	VERB
て	SCONJ
き	AUX
た	AUX
。	PUNCT

ここ	PRON
で	ADP
登場	VERB
する	AUX
団体	NOUN
全て	NOUN
を	ADP
“	PUNCT
カルト	NOUN
”	PUNCT
と	ADP
断定	VERB
する	AUX
もの	NOUN
で	AUX
は	ADP
あり	AUX
ませ	AUX
ん	AUX
。	PUNCT
