典型的	ADJ
な	AUX
皮膚科	NOUN
の	ADP
お	NOUN
医者	NOUN
さん	NOUN
です	AUX
ね	PART
。	PUNCT

ただし	CCONJ
,	PUNCT
今回	NOUN
発売	VERB
さ	AUX
れ	AUX
た	AUX
4	NUM
冊	NOUN
も	ADP
含め	VERB
て	SCONJ
,	PUNCT
英語	NOUN
の	ADP
参考書	NOUN
類	NOUN
は	ADP
全て	ADV
,	PUNCT
一般	NOUN
の	ADP
書店	NOUN
で	ADP
は	ADP
販売	VERB
さ	AUX
れ	AUX
ませ	AUX
ん	AUX
。	PUNCT

1868	NUM
年	NOUN
2月	NOUN
に	ADP
は	ADP
首相	NOUN
ダービー	NOUN
伯爵	NOUN
が	ADP
退任	VERB
し	AUX
、	PUNCT
ベンジャミン	PROPN
・	SYM
ディズレーリ	PROPN
が	ADP
後継	NOUN
の	ADP
首相	NOUN
と	ADP
なっ	VERB
た	AUX
。	PUNCT

ただし	CCONJ
、	PUNCT
「	PUNCT
隣	NOUN
」	PUNCT
字	NOUN
の	ADP
意	NOUN
符	NOUN
は	ADP
「	PUNCT
邑	PROPN
」	PUNCT
である	AUX
が	SCONJ
、	PUNCT
左	NOUN
偏	NOUN
に	ADP
ある	VERB
という	ADP
こと	SCONJ
で	ADP
、	PUNCT
この	DET
部	NOUN
に	ADP
入れ	VERB
られ	AUX
て	SCONJ
いる	AUX
。	PUNCT

ま	INTJ
、	PUNCT
場所柄	VERB
し	AUX
かた	NOUN
が	ADP
私	PRON
も	ADP
外国人	NOUN
の	ADP
友達	NOUN
を	ADP
連れ	VERB
て	SCONJ
行く	AUX
とき	NOUN
に	ADP
お	NOUN
世話	NOUN
に	ADP
なる	VERB
の	SCONJ
です	AUX
が	SCONJ
。	PUNCT

史実	NOUN
で	ADP
は	ADP
、	PUNCT
重成	PROPN
は	ADP
浪人	NOUN
衆	NOUN
に	ADP
考え	NOUN
が	ADP
近く	NOUN
、	PUNCT
浪人	NOUN
衆	NOUN
と	ADP
豊臣	PROPN
家臣	NOUN
の	ADP
橋渡し	NOUN
役	NOUN
を	ADP
し	VERB
て	SCONJ
い	AUX
た	AUX
が	SCONJ
、	PUNCT
ドラマ	NOUN
で	ADP
は	ADP
浪人	NOUN
衆	NOUN
の	ADP
意見	NOUN
に	ADP
反発	VERB
する	AUX
役回り	NOUN
を	ADP
し	VERB
て	SCONJ
いる	AUX
。	PUNCT

ブログ	NOUN
を	ADP
投稿	VERB
し	AUX
た	AUX
女性	NOUN
は	ADP
、	PUNCT
ロイター	PROPN
に対し	ADP
「	PUNCT
投稿	VERB
し	AUX
た	AUX
もと	NOUN
も	ADP
と	ADP
の	ADP
理由	NOUN
は	ADP
、	PUNCT
アップル	NOUN
が	ADP
中国	PROPN
で	ADP
模倣	VERB
さ	AUX
れ	AUX
て	SCONJ
いる	AUX
の	SCONJ
が	ADP
ニュース	NOUN
だ	AUX
から	SCONJ
で	AUX
なく	AUX
、	PUNCT
これら	PRON
の	ADP
店舗	NOUN
が	ADP
いんちき	NOUN
を	ADP
芸術作品	NOUN
と	ADP
も	ADP
言える	VERB
段階	NOUN
まで	ADP
引き上げ	VERB
て	SCONJ
い	AUX
た	AUX
から	SCONJ
」	PUNCT
と	ADP
電子メール	NOUN
で	ADP
説明	VERB
し	AUX
た	AUX
。	PUNCT
