ただ	CCONJ
,	PUNCT
被災地	NOUN
から	ADP
離れ	VERB
た	AUX
場所	NOUN
で	ADP
の	ADP
教会	NOUN
開放	NOUN
くらい	ADP
の	ADP
話	NOUN
なら	AUX
,	PUNCT
いちいち	ADV
本部	NOUN
が	ADP
指示	VERB
し	AUX
たり	SCONJ
は	ADP
し	VERB
ない	AUX
。	PUNCT

26	NUM
日付	NOUN
で	ADP
取引	NOUN
業者	NOUN
に	ADP
破産	NOUN
申請	NOUN
の	ADP
準備	NOUN
に	ADP
入っ	VERB
た	AUX
と	ADP
の	ADP
通知	NOUN
を	ADP
行い	VERB
、	PUNCT
同日	NOUN
から	ADP
事業	NOUN
を	ADP
停止	VERB
し	AUX
た	AUX
。	PUNCT

知恵	NOUN
と	ADP
アイディア	NOUN
を	ADP
結集	VERB
さ	AUX
せ	AUX
た	AUX
この	DET
「	PUNCT
推し	VERB
面	NOUN
メーカー	NOUN
」	PUNCT
は	ADP
、	PUNCT
最初	NOUN
から	ADP
公開	NOUN
予定	NOUN
だっ	AUX
た	AUX
の	SCONJ
だろ	AUX
う	AUX
か	PART
。	PUNCT

パーティ	NOUN
キャラクター	NOUN
6	NUM
人	NOUN
・	SYM
アッシュ	NOUN
・	SYM
ヴァン	PROPN
が	ADP
プレイヤー	NOUN
キャラクター	NOUN
と	ADP
し	VERB
て	SCONJ
登場	VERB
。	PUNCT

ご	NOUN
来場	VERB
くださっ	VERB
た	AUX
皆さん	PRON
,	PUNCT
出演者	NOUN
の	ADP
みなさん	PRON
,	PUNCT
ありがとう	INTJ
ござい	VERB
ます	AUX
。	PUNCT

彼	PRON
の	ADP
前	NOUN
に	ADP
、	PUNCT
ある	VERB
日	NOUN
突然	ADJ
、	PUNCT
双子	NOUN
の	ADP
妹	NOUN
と	ADP
弟	NOUN
が	ADP
現れ	VERB
た	AUX
。	PUNCT
