いや	INTJ
、	PUNCT
そんな	ADJ
ちゃんと	ADV
握	VERB
れ	AUX
て	SCONJ
いる	AUX
わけ	NOUN
で	AUX
は	ADP
ない	AUX
ので	SCONJ
、	PUNCT
ちゃんと	ADV
掛かっ	VERB
て	SCONJ
る	AUX
わけ	NOUN
で	AUX
は	ADP
ない	AUX
けど	SCONJ
、	PUNCT
まあ	ADV
距離	NOUN
が	ADP
割	NOUN
と	ADP
いい	ADJ
距離	NOUN
だっ	AUX
た	AUX
ん	SCONJ
で	AUX
。	PUNCT

初	NOUN
来店	NOUN
でし	AUX
た	AUX
が	SCONJ
、	PUNCT
こちら	PRON
の	ADP
美容室	NOUN
の	ADP
スタッフ	NOUN
の	ADP
方々	NOUN
の	ADP
優しい	ADJ
接客	NOUN
で	ADP
緊張	VERB
せ	AUX
ず	AUX
イメージ	NOUN
を	ADP
伝え	VERB
られ	AUX
まし	AUX
た	AUX
。	PUNCT

しかし	CCONJ
フランス	PROPN
は	ADP
ルール	NOUN
の	ADP
国際	NOUN
管理	NOUN
化	NOUN
に	ADP
こだわり	VERB
、	PUNCT
マーシャル・プラン	NOUN
によって	ADP
設立	VERB
さ	AUX
れ	AUX
た	AUX
欧州	PROPN
経済協力機構	PROPN
の	ADP
後継	NOUN
機関	NOUN
設立	NOUN
の	ADP
条件	NOUN
と	ADP
し	VERB
て	SCONJ
、	PUNCT
ルール	NOUN
の	ADP
国際	NOUN
管理	NOUN
機関	NOUN
設立	NOUN
を	ADP
条件	NOUN
と	ADP
し	VERB
て	SCONJ
提示	VERB
し	AUX
て	SCONJ
い	AUX
た	AUX
。	PUNCT

ローランド	NOUN
・	SYM
ヒル	NOUN
賞	NOUN
は	ADP
彼	PRON
に	ADP
ちなん	VERB
で	SCONJ
命名	VERB
さ	AUX
れ	AUX
た	AUX
もの	NOUN
である	AUX
。	PUNCT

この	DET
日	NOUN
も	ADP
小雪	NOUN
が	ADP
舞う	VERB
中	NOUN
、	PUNCT
福	NOUN
を	ADP
授かろ	VERB
う	AUX
と	SCONJ
約	PART
500	NUM
人	NOUN
が	ADP
来場	VERB
。	PUNCT
