임진각	PROPN
망향의	NOUN
제단	NOUN
앞에서	ADV
북녘을	NOUN
향해	SCONJ
엎드려	SCONJ
울고	VERB
있는	AUX
둘째	NUM
사위의	NOUN
모습이	NOUN
눈앞	NOUN
가득히	ADV
보였기	VERB
때문입니다	VERB
.	PUNCT

이런	VERB
발연은	NOUN
우리가	PRON
이	DET
작품	NOUN
제3연에	PART
나오는	VERB
상관물	NOUN
가운데	NOUN
하나가	NUM
별이라는	VERB
사실을	NOUN
알게	VERB
되면	SCONJ
곧	ADV
그	DET
속뜻이	NOUN
파악된다	VERB
.	PUNCT

여보	INTJ
,	PUNCT
많이	ADV
낙담했겠지만	SCONJ
새롭게	SCONJ
용기를	NOUN
내서	SCONJ
이	DET
현실을	NOUN
함께	ADV
감당해	VERB
나가도록	SCONJ
하자	VERB
.	PUNCT

지리학은	NOUN
지표상에	ADV
존재하는	VERB
지리적	NOUN
사상	NOUN
(	PUNCT
Geographycal	X
Phenomenon	X
)	PUNCT
들간의	NOUN
상호관계를	NOUN
연구하는	VERB
대단히	ADV
체계적이고	CCONJ
조직적인	VERB
학문이다	VERB
.	PUNCT

그러나	CCONJ
이	DET
중에서	ADV
36,106	NUM
만	NUM
평방킬로미터는	NOUN
바다로서	ADV
지구촌의	NOUN
70	NUM
%	SYM
를	ADP
점유하고	VERB
있다	AUX
.	PUNCT

육상	NOUN
,	PUNCT
해상의	NOUN
교통이	NOUN
발달하지	VERB
못하고	CCONJ
요즘음과	CCONJ
같은	ADJ
정보매체들도	ADV
존재하지	VERB
않던	AUX
시절에	ADV
만국박람회는	NOUN
사람들의	NOUN
호기심을	NOUN
자극하여	SCONJ
엄청난	ADJ
인파를	NOUN
한	ADJ
장소로	ADV
불러	SCONJ
모으기에	ADV
충분했다	ADJ
.	PUNCT
