둘째	NUM
,	PUNCT
하나님	PROPN
나라가	NOUN
예수	PROPN
그리스도께서	ADV
높이	ADV
받으심으로	ADV
인하여	SCONJ
성령이	NOUN
이	DET
땅에	ADV
강림하셨다	VERB
.	PUNCT

성령은	NOUN
어디에나	ADV
계시는	ADJ
분이다	VERB
.	PUNCT

헤르만	PROPN
헤세는	PROPN
어느	NOUN
작품에선가	VERB
'	PUNCT
손바닥	NOUN
위에	ADV
얹혀진	AUX
보물이듯	SCONJ
스스로	ADV
감싸면서	CCONJ
자신의	NOUN
영혼을	NOUN
기르는	VERB
열정	NOUN
'	PUNCT
에	ADP
관해서	SCONJ
말한	VERB
바	NOUN
있습니다	ADJ
.	PUNCT

단순한	VERB
관광여행이	NOUN
아니라	SCONJ
일단	ADV
출발하면	SCONJ
언제	ADV
고국에	ADV
돌아올지	SCONJ
전혀	ADV
예정이	NOUN
잡혀	VERB
있지	AUX
않은	AUX
여행	NOUN
말이다	INTJ
.	PUNCT

그러나	CCONJ
친구의	NOUN
응답은	NOUN
,	PUNCT
"	PUNCT
올	NOUN
여름에	ADV
냉하가	NOUN
돌고	CCONJ
,	PUNCT
기상불순이	NOUN
될	VERB
확률은	NOUN
한	ADJ
80	NUM
%	SYM
정도라네	VERB
"	PUNCT
라는	PART
평범하기	VERB
그지없는	ADJ
대답	NOUN
뿐이었다	VERB
.	PUNCT

국내가격보다	ADV
t당	X
2만원	NOUN
이상	NOUN
비싸지만	SCONJ
수입해	SCONJ
쓰지않을	AUX
수	NOUN
없었다	ADJ
.	PUNCT

그리고	CCONJ
그들은	PRON
관광	NOUN
사업의	NOUN
발전으로	ADV
대형	NOUN
관광	NOUN
버스가	NOUN
무리지어	SCONJ
들어왔던	AUX
모습을	NOUN
부러운	ADJ
마음으로	ADV
지켜	SCONJ
보았다	VERB
.	PUNCT
