자	INTJ
,	PUNCT
이것이	PRON
무엇을	PRON
의미하는가를	NOUN
한	NUM
번	NOUN
생각해	VERB
보자	AUX
.	PUNCT

그러나	CCONJ
모든	ADV
종교의	NOUN
교리는	NOUN
그	DET
종교의	NOUN
사상	NOUN
밖에서	ADV
보면	SCONJ
불합리하고	CCONJ
일반	NOUN
상식으로는	NOUN
받아들일	VERB
수	NOUN
없다	ADJ
.	PUNCT

그	DET
해부터	ADV
1965년까지	ADV
진행된	VERB
제2차	PART
바티칸공의회는	PROPN
한국교회에	ADV
많은	ADJ
영향을	NOUN
미쳤다	VERB
.	PUNCT

선진국인	VERB
일본의	PROPN
제조업	NOUN
비중이	NOUN
33.9	NUM
%	SYM
인	ADP
점을	NOUN
감안하면	SCONJ
우리의	PRON
비중은	NOUN
놀라울	ADJ
만큼	NOUN
낮은	ADJ
상태이다	VERB
.	PUNCT

이는	PRON
게르마늄	NOUN
(	PUNCT
Ge	X
)	PUNCT
이나	CCONJ
실리콘	NOUN
(	PUNCT
Si	X
)	PUNCT
과	ADP
같은	ADJ
물질	NOUN
,	PUNCT
즉	CCONJ
전기의	NOUN
양도체	NOUN
(	PUNCT
良導體	PROPN
)	PUNCT
와	CCONJ
절연체	NOUN
(	PUNCT
絶緣體	PROPN
)	PUNCT
의	ADP
중간에	ADV
위치한	VERB
반도체	NOUN
(	PUNCT
半導體	PROPN
)	PUNCT
를	ADP
사용하여	SCONJ
전압의	NOUN
증폭을	NOUN
가능케	VERB
한	AUX
것이다	VERB
.	PUNCT

사실	NOUN
에드윈	PROPN
허블의	PROPN
발견에	ADV
몇	ADJ
년	NOUN
앞선	VERB
1922	NUM
년에	ADV
프리드만은	PROPN
허블이	PROPN
밝힌	VERB
바를	NOUN
정확하게	SCONJ
예언했던	VERB
것이다	VERB
!	PUNCT
